"
												1 Bed
														–
2 Beds										","
												1 Bed
														–
3 Beds										","
												2 Beds
														–
4 Beds										","
												Studio
										","
												Studio
														–
2 Beds										","
2 																–
4 Beds												","
2 																–
6 Beds												","
Studio												",1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
,,,,,,,,"$2,295","$2,880",,,,"[{'bedroom_type': 'Studio', 'price': '$2,265'}, {'bedroom_type': '1 Bed', 'price': '$2,295'}, {'bedroom_type': '2 Beds', 'price': '$2,880'}]",San Jose,"1700 Newbury Park Dr, San Jose, CA 95133",LINQ Apartment Homes,https://www.apartments.com/linq-apartment-homes-san-jose-ca/d325jkj/,CA,"$2,265",Apartment,95133
,,,,,,,,"$1,499","$1,610","$1,925",,,"[{'bedroom_type': '1 Bed', 'price': '$1,499'}, {'bedroom_type': '2 Beds', 'price': '$1,610'}, {'bedroom_type': '3 Beds', 'price': '$1,925'}]",Sacramento,"407 Florin Rd, Sacramento, CA 95831",Vue At The Lake,https://www.apartments.com/vue-at-the-lake-sacramento-ca/6p7nffs/,CA,,Apartment,95831
,,,,,,,,"$1,845","$2,215",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,845'}, {'bedroom_type': '2 Beds', 'price': '$2,215'}]",Concord,"1490 Bel Air Dr, Concord, CA 94521",Bel Air Apartments,https://www.apartments.com/bel-air-apartments-concord-ca/s1ffcj5/,CA,,Apartment,94521
,,,,,,,,"$1,440","$1,557",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,440'}, {'bedroom_type': '2 Beds', 'price': '$1,557'}]",Fairfield,"713 E Travis Blvd, Fairfield, CA 94533",Dover Park Apartments,https://www.apartments.com/dover-park-apartments-fairfield-ca/bm6j3m8/,CA,,Apartment,94533
,,,,,,,,"$2,000","$2,367",,,,"[{'bedroom_type': '1 Bed', 'price': '$2,000'}, {'bedroom_type': '2 Beds', 'price': '$2,367'}]",Ventura,"930 Pacific Strand Ct, Ventura, CA 93003",Via Ventura,https://www.apartments.com/via-ventura-ventura-ca/33m4jcg/,CA,,Apartment,93003
,,,,,,,,"$2,100","$2,525",,,,"[{'bedroom_type': '1 Bed', 'price': '$2,100'}, {'bedroom_type': '2 Beds', 'price': '$2,525'}]",Santa Rosa,"2604 Petaluma Hill Rd, Santa Rosa, CA 95404",38 North,https://www.apartments.com/38-north-santa-rosa-ca/f92dres/,CA,,Apartment,95404
,,,,,,,,"$1,250","$1,450","$1,650",,,"[{'bedroom_type': '1 Bed', 'price': '$1,250'}, {'bedroom_type': '2 Beds', 'price': '$1,450'}, {'bedroom_type': '3 Beds', 'price': '$1,650'}]",Chula Vista,"566 Naples St, Chula Vista, CA 91911",Villa Napoli Apartments,https://www.apartments.com/villa-napoli-apartments-chula-vista-ca/1txk097/,CA,,Apartment,91911
,,,,,,,,"$1,670","$2,050",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,670'}, {'bedroom_type': '2 Beds', 'price': '$2,050'}]",Brea,"250 W Central Ave, Brea, CA 92821",Tamarack Gardens Apartments,https://www.apartments.com/tamarack-gardens-apartments-brea-ca/gf3sbdy/,CA,,Apartment,92821
,,,,,,,,"$1,830","$2,005",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,830'}, {'bedroom_type': '2 Beds', 'price': '$2,005'}]",Aliso Viejo,"22501 Chase, Aliso Viejo, CA 92656",Aventine at Aliso Viejo,https://www.apartments.com/aventine-at-aliso-viejo-aliso-viejo-ca/bn8hef8/,CA,,Apartment,92656
,,,,,,,,"$2,025","$2,190",,,,"[{'bedroom_type': '1 Bed', 'price': '$2,025'}, {'bedroom_type': '2 Beds', 'price': '$2,190'}]",El Cerrito,"10944 San Pablo Ave, El Cerrito, CA 94530",Civic Plaza Apartments,https://www.apartments.com/civic-plaza-apartments-el-cerrito-ca/1j5gxw5/,CA,,Apartment,94530
,,,,,,,,,,,,,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\tStudio\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]",Walnut Creek,"1716 N Main St, Walnut Creek, CA 94596",1716 Lofts,https://www.apartments.com/1716-lofts-walnut-creek-ca/cw2clxf/,CA,,Apartment,94596
,,,,,,,,"$1,495","$1,695",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,495'}, {'bedroom_type': '2 Beds', 'price': '$1,695'}]",San Diego,"4260 Palm Ave, San Diego, CA 92154",Foxwood Furnished Apartments,https://www.apartments.com/foxwood-furnished-apartments-san-diego-ca/n7dsw5p/,CA,,Apartment,92154
,,,,,,,,,"$2,695",,,,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]",Los Alamitos,"11152 Wallingsford Rd, Los Alamitos, CA 90720",Ascent Apartment Homes,https://www.apartments.com/ascent-apartment-homes-los-alamitos-ca/f3zp3cr/,CA,,Apartment,90720
,,,,,,,,"$1,345","$1,475",,,,"[{'bedroom_type': 'Studio', 'price': '$1,245'}, {'bedroom_type': '1 Bed', 'price': '$1,345'}, {'bedroom_type': '2 Beds', 'price': '$1,475'}]",Ontario,"154 N Palmetto Ave, Ontario, CA 91762",Mission Village,https://www.apartments.com/mission-village-ontario-ca/bwq2pe8/,CA,"$1,245",Apartment,91762
,,,,,,,,"$1,695","$1,215",,$955,,"[{'bedroom_type': 'Studio', 'price': '$1,395'}, {'bedroom_type': '1 Bed', 'price': '$1,695'}, {'bedroom_type': '2 Beds', 'price': '$1,215'}, {'bedroom_type': '4 Beds', 'price': '$955'}]",Sacramento,"1325 65th St, Sacramento, CA 95819",Academy65,https://www.apartments.com/academy65-sacramento-ca/l583zld/,CA,"$1,395",Apartment,95819
,,,,,,,,"$1,570","$1,770",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,570'}, {'bedroom_type': '2 Beds', 'price': '$1,770'}]",Paramount,"16818 Downey Ave, Paramount, CA 90723",Union Plaza,https://www.apartments.com/union-plaza-paramount-ca/b3w9578/,CA,,Apartment,90723
,,,,,,,,"$1,575","$1,875",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,575'}, {'bedroom_type': '2 Beds', 'price': '$1,875'}]",West Covina,"1901 E Amar Rd, West Covina, CA 91792",Rollingwood,https://www.apartments.com/rollingwood-west-covina-ca/1rv73b5/,CA,,Apartment,91792
,,,,,,,,"$2,065","$2,430",,,,"[{'bedroom_type': '1 Bed', 'price': '$2,065'}, {'bedroom_type': '2 Beds', 'price': '$2,430'}]",Livermore,"1160 Portola Meadows Rd, Livermore, CA 94551",Portola Meadows,https://www.apartments.com/portola-meadows-livermore-ca/cl1sw8e/,CA,,Apartment,94551
,,,,,,,,"$2,025","$2,495",,,,"[{'bedroom_type': '1 Bed', 'price': '$2,025'}, {'bedroom_type': '2 Beds', 'price': '$2,495'}]",San Leandro,"235 Haas Ave, San Leandro, CA 94577",Woodside,https://www.apartments.com/woodside-san-leandro-ca/wz9qj7l/,CA,,Apartment,94577
,,,,,$675,,"$1,284",,,,,,"[{'bedroom_type': '\r\nStudio\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$1,284'}, {'bedroom_type': '\r\n2 \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n4 Beds\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$675'}]",San Luis Obispo,"1 Mustang Dr, San Luis Obispo, CA 93405",Mustang Village,https://www.apartments.com/mustang-village-san-luis-obispo-ca/w3myfmh/,CA,,Apartment,93405
,,,,,$870,,"$1,530",,,,,,"[{'bedroom_type': '\r\nStudio\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$1,530'}, {'bedroom_type': '\r\n2 \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n4 Beds\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$870'}]",Sacramento,"2920 Ramona Ave, Sacramento, CA 95826",The Crossings Student Living,https://www.apartments.com/the-crossings-student-living-sacramento-ca/djcnp7l/,CA,,Apartment,95826
,,,,,,,,"$1,205","$1,425",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,205'}, {'bedroom_type': '2 Beds', 'price': '$1,425'}]",Sacramento,"2059 Royal Oaks Dr, Sacramento, CA 95815",Woodlake Close,https://www.apartments.com/woodlake-close-sacramento-ca/mhd3gjk/,CA,,Apartment,95815
,,,,,,,,"$2,175","$2,675",,,,"[{'bedroom_type': '1 Bed', 'price': '$2,175'}, {'bedroom_type': '2 Beds', 'price': '$2,675'}]",Campbell,"3507 S Bascom Ave, Campbell, CA 95008",Sedona Lane Apartments,https://www.apartments.com/sedona-lane-apartments-campbell-ca/f7z4hrv/,CA,,Apartment,95008
,,,,,,,,"$1,989","$2,441",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,989'}, {'bedroom_type': '2 Beds', 'price': '$2,441'}]",San Diego,"12646 Torrey Bluff Dr, San Diego, CA 92130",Club Torrey Pines,https://www.apartments.com/club-torrey-pines-san-diego-ca/sdjnx85/,CA,,Apartment,92130
,,,,,,,,"$1,800","$1,950","$2,499",,,"[{'bedroom_type': '1 Bed', 'price': '$1,800'}, {'bedroom_type': '2 Beds', 'price': '$1,950'}, {'bedroom_type': '3 Beds', 'price': '$2,499'}]",Rancho Cucamonga,"10801 Lemon Ave, Rancho Cucamonga, CA 91737",Sierra Heights,https://www.apartments.com/sierra-heights-rancho-cucamonga-ca/0dx3h43/,CA,,Apartment,91737
,,,,,,,,,"$1,475","$1,600",,,"[{'bedroom_type': '2 Beds', 'price': '$1,475'}, {'bedroom_type': '3 Beds', 'price': '$1,600'}]",Bakersfield,"5201 Gasol Ct, Bakersfield, CA 93313",Boardwalk Luxury Apartments,https://www.apartments.com/boardwalk-luxury-apartments-bakersfield-ca/t7q000c/,CA,,Apartment,93313
,,,,,,,,"$3,295","$4,250","$5,555",,,"[{'bedroom_type': 'Studio', 'price': '$3,150'}, {'bedroom_type': '1 Bed', 'price': '$3,295'}, {'bedroom_type': '2 Beds', 'price': '$4,250'}, {'bedroom_type': '3 Beds', 'price': '$5,555'}]",Menlo Park,"3639 Haven Ave, Menlo Park, CA 94025",Anton Menlo,https://www.apartments.com/anton-menlo-menlo-park-ca/77hv89w/,CA,"$3,150",Apartment,94025
,,,,,,,,"$1,005","$1,145",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,005'}, {'bedroom_type': '2 Beds', 'price': '$1,145'}]",Fresno,"5350 N Brawley Ave, Fresno, CA 93722",Reflections Apartment Homes,https://www.apartments.com/reflections-apartment-homes-fresno-ca/5b9w72p/,CA,,Apartment,93722
,,,,,,,,"$1,825","$2,395",,,,"[{'bedroom_type': 'Studio', 'price': '$1,525'}, {'bedroom_type': '1 Bed', 'price': '$1,825'}, {'bedroom_type': '2 Beds', 'price': '$2,395'}]",San Diego,"3866 Ingraham St, San Diego, CA 92109",Bay Pointe Apartments,https://www.apartments.com/bay-pointe-apartments-san-diego-ca/bq4wff8/,CA,"$1,525",Apartment,92109
,,,,,,,,,,,,,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]",Modesto,"2929 Floyd Ave, Modesto, CA 95355",The Villas at Villaggio Apartments,https://www.apartments.com/the-villas-at-villaggio-apartments-modesto-ca/grdfp8w/,CA,,Apartment,95355
,,,,,,,,"$1,595","$1,850","$2,000",,,"[{'bedroom_type': '1 Bed', 'price': '$1,595'}, {'bedroom_type': '2 Beds', 'price': '$1,850'}, {'bedroom_type': '3 Beds', 'price': '$2,000'}]",Fairfield,"3900 Business Center Dr, Fairfield, CA 94534",Verdant at Green Valley,https://www.apartments.com/verdant-at-green-valley-fairfield-ca/hggz820/,CA,,Apartment,94534
,,,,,,$599,"$1,089",,,,,,"[{'bedroom_type': '\r\nStudio\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$1,089'}, {'bedroom_type': '\r\n2 \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n6 Beds\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$599'}]",San Luis Obispo,"1050 E Foothill Blvd, San Luis Obispo, CA 93405",The SLO Student Living,https://www.apartments.com/the-slo-student-living-san-luis-obispo-ca/03198q1/,CA,,Apartment,93405
,,,,,,,,"$1,200","$1,400","$1,800",,,"[{'bedroom_type': '1 Bed', 'price': '$1,200'}, {'bedroom_type': '2 Beds', 'price': '$1,400'}, {'bedroom_type': '3 Beds', 'price': '$1,800'}]",Carmichael,"4494 Mary Lynn Ln, Carmichael, CA 95608",Crestview North Apartments,https://www.apartments.com/crestview-north-apartments-carmichael-ca/m3vy6cl/,CA,,Apartment,95608
,,,,,,,,,"$2,175",,,,"[{'bedroom_type': '2 Beds', 'price': '$2,175'}]",West Covina,"851 S Sunset Ave, West Covina, CA 91790",Torrey Pines Apartment Homes,https://www.apartments.com/torrey-pines-apartment-homes-west-covina-ca/qn94fky/,CA,,Apartment,91790
,,,,,,,,,,,$840,,"[{'bedroom_type': '4 Beds', 'price': '$840'}]",Riverside,"1400 University Ave, Riverside, CA 92507",The Palms on University,https://www.apartments.com/the-palms-on-university-riverside-ca/4bdkrrj/,CA,,Apartment,92507
,,,,,,,,,"$2,950","$3,200",,,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}, {'bedroom_type': '3 Beds', 'price': '$3,200'}]",Oxnard,"560 Winchester Dr, Oxnard, CA 93036",Mayfair Townhomes,https://www.apartments.com/mayfair-townhomes-oxnard-ca/nzkvm1n/,CA,,Apartment,93036
,,,,,,,,"$2,227","$3,357","$3,557",,,"[{'bedroom_type': 'Studio', 'price': '$1,850'}, {'bedroom_type': '1 Bed', 'price': '$2,227'}, {'bedroom_type': '2 Beds', 'price': '$3,357'}, {'bedroom_type': '3 Beds', 'price': '$3,557'}]",North Hollywood,"11011 Otsego St, North Hollywood, CA 91601",The Ivy at NOHO,https://www.apartments.com/the-ivy-at-noho-north-hollywood-ca/cc3chff/,CA,"$1,850",Apartment,91601
,,,,,,,,,,,,,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\tStudio\r\n\t\t\t\t\t\t\t\t\t\t', 'price': ''}]",Long Beach,"101 Alamitos Ave, Long Beach, CA 90802",First & Alamitos,https://www.apartments.com/first-alamitos-long-beach-ca/lwkqetf/,CA,,Apartment,90802
,,,,,,,,"$2,585","$3,080","$4,200",,,"[{'bedroom_type': 'Studio', 'price': '$2,460'}, {'bedroom_type': '1 Bed', 'price': '$2,585'}, {'bedroom_type': '2 Beds', 'price': '$3,080'}, {'bedroom_type': '3 Beds', 'price': '$4,200'}]",San Jose,"75 Rio Robles E, San Jose, CA 95134",The Cypress at North Park,https://www.apartments.com/the-cypress-at-north-park-san-jose-ca/l3eed5g/,CA,"$2,460",Apartment,95134
,,,,,,,,,,,,,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]",Stockton,"6465 West Ln, Stockton, CA 95210",Westpointe Apartments,https://www.apartments.com/westpointe-apartments-stockton-ca/jqq5rb6/,CA,,Apartment,95210
,,,,,,,,"$2,175","$2,420","$2,995",,,"[{'bedroom_type': '1 Bed', 'price': '$2,175'}, {'bedroom_type': '2 Beds', 'price': '$2,420'}, {'bedroom_type': '3 Beds', 'price': '$2,995'}]",Campbell,"2275 S Bascom Ave, Campbell, CA 95008",Cedar Glen,https://www.apartments.com/cedar-glen-campbell-ca/9t4hnw4/,CA,,Apartment,95008
,,,,,,,,,"$1,255",,,,"[{'bedroom_type': '2 Beds', 'price': '$1,255'}]",Modesto,"1301 Richland Ave, Modesto, CA 95351",Pine Ridge,https://www.apartments.com/pine-ridge-modesto-ca/b6mnzc8/,CA,,Apartment,95351
,,,,,,,,"$2,450","$2,950",,,,"[{'bedroom_type': '1 Bed', 'price': '$2,450'}, {'bedroom_type': '2 Beds', 'price': '$2,950'}]",Sunnyvale,"395-396 Ano Nuevo Ave, Sunnyvale, CA 94085",Windemere Apartments,https://www.apartments.com/windemere-apartments-sunnyvale-ca/s6ze4m4/,CA,,Apartment,94085
,,,,,,,,"$1,010","$1,250",,,,"[{'bedroom_type': 'Studio', 'price': '$930'}, {'bedroom_type': '1 Bed', 'price': '$1,010'}, {'bedroom_type': '2 Beds', 'price': '$1,250'}]",Jurupa Valley,"10250 W Country Club Dr, Jurupa Valley, CA 91752",Country Village Senior Apartments 55+,https://www.apartments.com/country-village-senior-apartments-55-jurupa-valley-ca/bgest5c/,CA,$930,Apartment,91752
,,,,,,,,,"$1,850","$2,500",,,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}, {'bedroom_type': '3 Beds', 'price': '$2,500'}]",Canoga Park,"8526 International Ave, Canoga Park, CA 91304",International Village Apartments,https://www.apartments.com/international-village-apartments-canoga-park-ca/tp3ceeb/,CA,,Apartment,91304
,,,,,,,,"$1,175","$1,300",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,175'}, {'bedroom_type': '2 Beds', 'price': '$1,300'}]",Chino,"11902 Central Ave, Chino, CA 91710",Hillsborough Village Senior Apartments,https://www.apartments.com/hillsborough-village-senior-apartments-chino-ca/jzkksc5/,CA,,Apartment,91710
