"
												1 Bed
														–
2 Beds										","
												Studio
														–
3 Beds										",1 Bed,2 Beds,3 Beds,4 Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
,,"$1,120","$1,235","$1,415",,"[{'bedroom_type': '1 Bed', 'price': '$1,120'}, {'bedroom_type': '2 Beds', 'price': '$1,235'}, {'bedroom_type': '3 Beds', 'price': '$1,415'}]",Bakersfield,"8200 N Laurelglen Blvd, Bakersfield, CA 93311",Cambridge Village Apartments,https://www.apartments.com/cambridge-village-apartments-bakersfield-ca/t9c1yp8/,CA,,Apartment,93311
,,"$2,038","$2,426","$3,448",,"[{'bedroom_type': 'Studio', 'price': '$2,116'}, {'bedroom_type': '1 Bed', 'price': '$2,038'}, {'bedroom_type': '2 Beds', 'price': '$2,426'}, {'bedroom_type': '3 Beds', 'price': '$3,448'}]",Huntington Beach,"7290 Edinger Ave, Huntington Beach, CA 92647",Luce,https://www.apartments.com/luce-huntington-beach-ca/c7kbhdd/,CA,"$2,116",Apartment,92647
,,"$1,780","$2,230",,,"[{'bedroom_type': '1 Bed', 'price': '$1,780'}, {'bedroom_type': '2 Beds', 'price': '$2,230'}]",Long Beach,"3500 Hathaway Ave, Long Beach, CA 90815",Hathaway,https://www.apartments.com/hathaway-long-beach-ca/vknfmvf/,CA,,Apartment,90815
,,"$1,545","$1,795","$2,150",,"[{'bedroom_type': '1 Bed', 'price': '$1,545'}, {'bedroom_type': '2 Beds', 'price': '$1,795'}, {'bedroom_type': '3 Beds', 'price': '$2,150'}]",Vista,"221 Smilax Rd, Vista, CA 92083",Mariposa Apartment Homes,https://www.apartments.com/mariposa-apartment-homes-vista-ca/8hhl3r1/,CA,,Apartment,92083
,,"$2,025","$2,758","$3,495",,"[{'bedroom_type': 'Studio', 'price': '$1,905'}, {'bedroom_type': '1 Bed', 'price': '$2,025'}, {'bedroom_type': '2 Beds', 'price': '$2,758'}, {'bedroom_type': '3 Beds', 'price': '$3,495'}]",Huntington Beach,"7521 Edinger Ave, Huntington Beach, CA 92647",The Residences at Bella Terra,https://www.apartments.com/the-residences-at-bella-terra-huntington-beach-ca/0j895w0/,CA,"$1,905",Apartment,92647
,,"$2,283","$3,184",,,"[{'bedroom_type': 'Studio', 'price': '$2,180'}, {'bedroom_type': '1 Bed', 'price': '$2,283'}, {'bedroom_type': '2 Beds', 'price': '$3,184'}]",Glendale,"321 N Orange St, Glendale, CA 91203",AMLI Lex on Orange,https://www.apartments.com/amli-lex-on-orange-glendale-ca/geg65mw/,CA,"$2,180",Apartment,91203
,,"$1,780","$2,230",,,"[{'bedroom_type': '1 Bed', 'price': '$1,780'}, {'bedroom_type': '2 Beds', 'price': '$2,230'}]",Long Beach,"3500 Hathaway Ave, Long Beach, CA 90815",Hathaway,https://www.apartments.com/hathaway-long-beach-ca/vknfmvf/,CA,,Apartment,90815
,,"$1,545","$1,795","$2,150",,"[{'bedroom_type': '1 Bed', 'price': '$1,545'}, {'bedroom_type': '2 Beds', 'price': '$1,795'}, {'bedroom_type': '3 Beds', 'price': '$2,150'}]",Vista,"221 Smilax Rd, Vista, CA 92083",Mariposa Apartment Homes,https://www.apartments.com/mariposa-apartment-homes-vista-ca/8hhl3r1/,CA,,Apartment,92083
,,"$2,025","$2,798","$3,495",,"[{'bedroom_type': 'Studio', 'price': '$1,905'}, {'bedroom_type': '1 Bed', 'price': '$2,025'}, {'bedroom_type': '2 Beds', 'price': '$2,798'}, {'bedroom_type': '3 Beds', 'price': '$3,495'}]",Huntington Beach,"7521 Edinger Ave, Huntington Beach, CA 92647",The Residences at Bella Terra,https://www.apartments.com/the-residences-at-bella-terra-huntington-beach-ca/0j895w0/,CA,"$1,905",Apartment,92647
,,"$2,283","$3,184",,,"[{'bedroom_type': 'Studio', 'price': '$2,180'}, {'bedroom_type': '1 Bed', 'price': '$2,283'}, {'bedroom_type': '2 Beds', 'price': '$3,184'}]",Glendale,"321 N Orange St, Glendale, CA 91203",AMLI Lex on Orange,https://www.apartments.com/amli-lex-on-orange-glendale-ca/geg65mw/,CA,"$2,180",Apartment,91203
,,"$3,023","$3,989",,,"[{'bedroom_type': 'Studio', 'price': '$3,464'}, {'bedroom_type': '1 Bed', 'price': '$3,023'}, {'bedroom_type': '2 Beds', 'price': '$3,989'}]",San Francisco,"301 Executive Park Blvd, San Francisco, CA 94134",Ashton San Francisco Apartments,https://www.apartments.com/ashton-san-francisco-apartments-san-francisco-ca/0pvmdb0/,CA,"$3,464",Apartment,94134
,,"$1,931","$2,169",,,"[{'bedroom_type': 'Studio', 'price': '$1,612'}, {'bedroom_type': '1 Bed', 'price': '$1,931'}, {'bedroom_type': '2 Beds', 'price': '$2,169'}]",San Diego,"699 14th St, San Diego, CA 92101",Market Street Village,https://www.apartments.com/market-street-village-san-diego-ca/z2fxxfx/,CA,"$1,612",Apartment,92101
,,"$2,145","$2,595",,,"[{'bedroom_type': '1 Bed', 'price': '$2,145'}, {'bedroom_type': '2 Beds', 'price': '$2,595'}]",San Diego,"9865-9895 Erma Rd, San Diego, CA 92131",Solterra EcoLuxury Apartments,https://www.apartments.com/solterra-ecoluxury-apartments-san-diego-ca/e7y8vqm/,CA,,Apartment,92131
,,"$1,745","$2,296","$2,802",,"[{'bedroom_type': 'Studio', 'price': '$1,599'}, {'bedroom_type': '1 Bed', 'price': '$1,745'}, {'bedroom_type': '2 Beds', 'price': '$2,296'}, {'bedroom_type': '3 Beds', 'price': '$2,802'}]",Costa Mesa,"2700 Peterson Pl, Costa Mesa, CA 92626",Harbor at Mesa Verde,https://www.apartments.com/harbor-at-mesa-verde-costa-mesa-ca/d1w2dll/,CA,"$1,599",Apartment,92626
,,"$1,876","$2,097",,,"[{'bedroom_type': '1 Bed', 'price': '$1,876'}, {'bedroom_type': '2 Beds', 'price': '$2,097'}]",San Diego,"12435 Heatherton Ct, San Diego, CA 92128",Ridgewood Village,https://www.apartments.com/ridgewood-village-san-diego-ca/ge6y56w/,CA,,Apartment,92128
,,"$1,840","$2,230","$2,865",,"[{'bedroom_type': '1 Bed', 'price': '$1,840'}, {'bedroom_type': '2 Beds', 'price': '$2,230'}, {'bedroom_type': '3 Beds', 'price': '$2,865'}]",La Verne,"2777-2855 Foothill Blvd, La Verne, CA 91750",La Verne Village Luxury Apartment Homes,https://www.apartments.com/la-verne-village-luxury-apartment-homes-la-verne-ca/n59hrnm/,CA,,Apartment,91750
,,"$1,863","$2,105",,,"[{'bedroom_type': '1 Bed', 'price': '$1,863'}, {'bedroom_type': '2 Beds', 'price': '$2,105'}, {'bedroom_type': '3 Beds', 'price': ''}]",Simi Valley,"1579-1691 E Jefferson Way, Simi Valley, CA 93065",Avalon Simi Valley,https://www.apartments.com/avalon-simi-valley-simi-valley-ca/g61zyrz/,CA,,Apartment,93065
,,"$1,240","$1,390",,,"[{'bedroom_type': '1 Bed', 'price': '$1,240'}, {'bedroom_type': '2 Beds', 'price': '$1,390'}]",Sacramento,"2450 Seamist Dr, Sacramento, CA 95833",The Vue Apartments,https://www.apartments.com/the-vue-apartments-sacramento-ca/8wb0sd0/,CA,,Apartment,95833
,,"$1,595","$1,892",,,"[{'bedroom_type': '1 Bed', 'price': '$1,595'}, {'bedroom_type': '2 Beds', 'price': '$1,892'}]",Rancho Santa Margarita,"1-2 Via Amistosa, Rancho Santa Margarita, CA 92688",Villa La Paz Apartment Homes,https://www.apartments.com/villa-la-paz-apartment-homes-rancho-santa-margarita-ca/4ph12yk/,CA,,Apartment,92688
,,"$2,400","$2,995","$4,690",,"[{'bedroom_type': 'Studio', 'price': '$1,875'}, {'bedroom_type': '1 Bed', 'price': '$2,400'}, {'bedroom_type': '2 Beds', 'price': '$2,995'}, {'bedroom_type': '3 Beds', 'price': '$4,690'}]",Los Angeles,"555 N Spring St, Los Angeles, CA 90013",LA Plaza,https://www.apartments.com/la-plaza-los-angeles-ca/qkn2sxy/,CA,"$1,875",Apartment,90013
,,"$1,659","$2,085",,,"[{'bedroom_type': 'Studio', 'price': '$1,449'}, {'bedroom_type': '1 Bed', 'price': '$1,659'}, {'bedroom_type': '2 Beds', 'price': '$2,085'}]",San Diego,"505 W Broadway, San Diego, CA 92101",Koll Center,https://www.apartments.com/koll-center-san-diego-ca/39shbyg/,CA,"$1,449",Apartment,92101
,,,"$1,614","$2,251",,"[{'bedroom_type': '2 Beds', 'price': '$1,614'}, {'bedroom_type': '3 Beds', 'price': '$2,251'}]",Roseville,"1890 Junction Blvd, Roseville, CA 95747",Carmel At Woodcreek West,https://www.apartments.com/carmel-at-woodcreek-west-roseville-ca/1hcjkb4/,CA,,Apartment,95747
,,"$1,836","$2,410","$3,017",,"[{'bedroom_type': '1 Bed', 'price': '$1,836'}, {'bedroom_type': '2 Beds', 'price': '$2,410'}, {'bedroom_type': '3 Beds', 'price': '$3,017'}]",Glendora,"121 E Route 66, Glendora, CA 91740",Avalon Glendora,https://www.apartments.com/avalon-glendora-glendora-ca/zlcf57x/,CA,,Apartment,91740
,,"$2,250","$2,730","$3,400",,"[{'bedroom_type': '1 Bed', 'price': '$2,250'}, {'bedroom_type': '2 Beds', 'price': '$2,730'}, {'bedroom_type': '3 Beds', 'price': '$3,400'}]",Dublin,"5050 Hacienda Dr, Dublin, CA 94568",Emerald Park,https://www.apartments.com/emerald-park-dublin-ca/7fv01tx/,CA,,Apartment,94568
,,"$2,219","$2,969",,,"[{'bedroom_type': 'Studio', 'price': '$2,109'}, {'bedroom_type': '1 Bed', 'price': '$2,219'}, {'bedroom_type': '2 Beds', 'price': '$2,969'}]",Glendale,"3900 San Fernando Rd, Glendale, CA 91204",Camden Glendale,https://www.apartments.com/camden-glendale-glendale-ca/kj6fsxc/,CA,"$2,109",Apartment,91204
,,"$1,999","$2,295","$2,975",,"[{'bedroom_type': '1 Bed', 'price': '$1,999'}, {'bedroom_type': '2 Beds', 'price': '$2,295'}, {'bedroom_type': '3 Beds', 'price': '$2,975'}]",Ventura,"10896 Telegraph Rd, Ventura, CA 93004",Parklands Apartments,https://www.apartments.com/parklands-apartments-ventura-ca/4e1ys7k/,CA,,Apartment,93004
,,"$1,329","$1,499",,,"[{'bedroom_type': '1 Bed', 'price': '$1,329'}, {'bedroom_type': '2 Beds', 'price': '$1,499'}]",Fresno,"9375 N Saybrook Dr, Fresno, CA 93720",Cascades,https://www.apartments.com/cascades-fresno-ca/f2f1ggt/,CA,,Apartment,93720
,,"$1,935","$2,400",,,"[{'bedroom_type': '1 Bed', 'price': '$1,935'}, {'bedroom_type': '2 Beds', 'price': '$2,400'}]",Corona,"2225 Collett Ave, Corona, CA 92879",The Monterey,https://www.apartments.com/the-monterey-corona-ca/p7bs0jt/,CA,,Apartment,92879
,,"$2,425","$3,235",,,"[{'bedroom_type': '1 Bed', 'price': '$2,425'}, {'bedroom_type': '2 Beds', 'price': '$3,235'}]",Oceanside,"371 N Cleveland St, Oceanside, CA 92054",SALT,https://www.apartments.com/salt-oceanside-ca/lcbl4hf/,CA,,Apartment,92054
,,"$1,849",,,,"[{'bedroom_type': 'Studio', 'price': '$1,599'}, {'bedroom_type': '1 Bed', 'price': '$1,849'}]",West Sacramento,"998 Riverfront St, West Sacramento, CA 95691",The Foundry,https://www.apartments.com/the-foundry-west-sacramento-ca/td1m2tb/,CA,"$1,599",Apartment,95691
,,,,"$2,995","$3,588","[{'bedroom_type': '3 Beds', 'price': '$2,995'}, {'bedroom_type': '4 Beds', 'price': '$3,588'}]",Chula Vista,"1630 Paseo Monti, Chula Vista, CA 91913",Salerno,https://www.apartments.com/salerno-chula-vista-ca/n44d6tp/,CA,,Apartment,91913
,,"$2,261","$3,240","$4,771",,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,261'}, {'bedroom_type': '2 Beds', 'price': '$3,240'}, {'bedroom_type': '3 Beds', 'price': '$4,771'}]",San Diego,"4275 Mission Bay Dr, San Diego, CA 92109",Jefferson Pacific Beach,https://www.apartments.com/jefferson-pacific-beach-san-diego-ca/kzbrk3c/,CA,,Apartment,92109
,,"$2,399","$2,950","$3,399",,"[{'bedroom_type': '1 Bed', 'price': '$2,399'}, {'bedroom_type': '2 Beds', 'price': '$2,950'}, {'bedroom_type': '3 Beds', 'price': '$3,399'}]",Oxnard,"3851 Harbour Island Ln, Oxnard, CA 93035",The Reserve at Seabridge,https://www.apartments.com/the-reserve-at-seabridge-oxnard-ca/3rj2xrg/,CA,,Apartment,93035
,,"$3,210","$4,530",,,"[{'bedroom_type': 'Studio', 'price': '$2,770'}, {'bedroom_type': '1 Bed', 'price': '$3,210'}, {'bedroom_type': '2 Beds', 'price': '$4,530'}]",Oakland,"1717 Webster St, Oakland, CA 94612",1717 Webster,https://www.apartments.com/1717-webster-oakland-ca/tr03nnc/,CA,"$2,770",Apartment,94612
,,"$1,780","$2,455","$3,241",,"[{'bedroom_type': '1 Bed', 'price': '$1,780'}, {'bedroom_type': '2 Beds', 'price': '$2,455'}, {'bedroom_type': '3 Beds', 'price': '$3,241'}]",Chula Vista,"1902 Millenia Ave, Chula Vista, CA 91915",Alexan Rivue,https://www.apartments.com/alexan-rivue-chula-vista-ca/gwbrmjw/,CA,,Apartment,91915
,,"$1,722","$2,192",,,"[{'bedroom_type': 'Studio', 'price': '$1,627'}, {'bedroom_type': '1 Bed', 'price': '$1,722'}, {'bedroom_type': '2 Beds', 'price': '$2,192'}]",Riverside,"3050 Mission Inn Ave, Riverside, CA 92507",Mission Lofts,https://www.apartments.com/mission-lofts-riverside-ca/41rehmk/,CA,"$1,627",Apartment,92507
,,"$1,690","$1,875","$2,365",,"[{'bedroom_type': '1 Bed', 'price': '$1,690'}, {'bedroom_type': '2 Beds', 'price': '$1,875'}, {'bedroom_type': '3 Beds', 'price': '$2,365'}]",Roseville,"1900 Blue Oaks Blvd, Roseville, CA 95747",Harvest at Fiddyment Ranch,https://www.apartments.com/harvest-at-fiddyment-ranch-roseville-ca/8vs1fp2/,CA,,Apartment,95747
,,"$2,624","$2,799","$3,624",,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,624'}, {'bedroom_type': '2 Beds', 'price': '$2,799'}, {'bedroom_type': '3 Beds', 'price': '$3,624'}]",Oakland,"3250 Hollis St, Oakland, CA 94608",Hollis Oak,https://www.apartments.com/hollis-oak-oakland-ca/d29wfnl/,CA,,Apartment,94608
,,"$1,944","$2,379","$3,153",,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,944'}, {'bedroom_type': '2 Beds', 'price': '$2,379'}, {'bedroom_type': '3 Beds', 'price': '$3,153'}]",San Diego,"4440 Twain Ave, San Diego, CA 92120",Vora Mission Gorge,https://www.apartments.com/vora-mission-gorge-san-diego-ca/sbk32d7/,CA,,Apartment,92120
,,,,,,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\tStudio\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]",San Bruno,"400-418 San Mateo Ave, San Bruno, CA 94066",Aperture,https://www.apartments.com/aperture-san-bruno-ca/nj7cymm/,CA,,Apartment,94066
,,"$2,284","$2,855","$3,436",,"[{'bedroom_type': '1 Bed', 'price': '$2,284'}, {'bedroom_type': '2 Beds', 'price': '$2,855'}, {'bedroom_type': '3 Beds', 'price': '$3,436'}]",Valencia,"24555 Town Center Dr, Valencia, CA 91355",The Madison at Town Center,https://www.apartments.com/the-madison-at-town-center-valencia-ca/svrhnj6/,CA,,Apartment,91355
,,"$2,800","$3,430","$5,125",,"[{'bedroom_type': 'Studio', 'price': '$2,350'}, {'bedroom_type': '1 Bed', 'price': '$2,800'}, {'bedroom_type': '2 Beds', 'price': '$3,430'}, {'bedroom_type': '3 Beds', 'price': '$5,125'}]",San Diego,"3200 Paseo Village Way, San Diego, CA 92130",One Paseo Living,https://www.apartments.com/one-paseo-living-san-diego-ca/djmcwtk/,CA,"$2,350",Apartment,92130
,,"$2,522","$3,075",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,522'}, {'bedroom_type': '2 Beds', 'price': '$3,075'}]",Costa Mesa,"580 Anton Blvd, Costa Mesa, CA 92626",580 Anton,https://www.apartments.com/580-anton-costa-mesa-ca/e1ls8wn/,CA,,Apartment,92626
,,"$2,337","$2,643",,,"[{'bedroom_type': '1 Bed', 'price': '$2,337'}, {'bedroom_type': '2 Beds', 'price': '$2,643'}]",Hayward,"28850 Dixon St, Hayward, CA 94544",Cadence,https://www.apartments.com/cadence-hayward-ca/lwhqrze/,CA,,Apartment,94544
,,"$2,685","$3,175",,,"[{'bedroom_type': 'Studio', 'price': '$2,570'}, {'bedroom_type': '1 Bed', 'price': '$2,685'}, {'bedroom_type': '2 Beds', 'price': '$3,175'}]",San Jose,"415 E Taylor St, San Jose, CA 95112",Cannery Park by Windsor,https://www.apartments.com/cannery-park-by-windsor-san-jose-ca/43ekybk/,CA,"$2,570",Apartment,95112
,,"$2,906","$4,260",,,"[{'bedroom_type': 'Studio', 'price': '$2,734'}, {'bedroom_type': '1 Bed', 'price': '$2,906'}, {'bedroom_type': '2 Beds', 'price': '$4,260'}, {'bedroom_type': '3 Beds', 'price': ''}]",Oakland,"4901 Broadway, Oakland, CA 94611",Baxter on Broadway,https://www.apartments.com/baxter-on-broadway-oakland-ca/2mqvyzc/,CA,"$2,734",Apartment,94611
,,"$2,425","$2,999",,,"[{'bedroom_type': 'Studio', 'price': '$1,999'}, {'bedroom_type': '1 Bed', 'price': '$2,425'}, {'bedroom_type': '2 Beds', 'price': '$2,999'}]",North Hollywood,"11405 Chandler Blvd, North Hollywood, CA 91601",NVE APARTMENTS,https://www.apartments.com/nve-apartments-north-hollywood-ca/83n5pv2/,CA,"$1,999",Apartment,91601
,,"$2,054","$2,340","$3,120",,"[{'bedroom_type': '1 Bed', 'price': '$2,054'}, {'bedroom_type': '2 Beds', 'price': '$2,340'}, {'bedroom_type': '3 Beds', 'price': '$3,120'}]",La Habra,"951 S Beach Blvd, La Habra, CA 90631",Valentia Apartment Homes,https://www.apartments.com/valentia-apartment-homes-la-habra-ca/gc4c0mz/,CA,,Apartment,90631
,,"$2,614","$3,224","$4,124",,"[{'bedroom_type': 'Studio', 'price': '$2,677'}, {'bedroom_type': '1 Bed', 'price': '$2,614'}, {'bedroom_type': '2 Beds', 'price': '$3,224'}, {'bedroom_type': '3 Beds', 'price': '$4,124'}]",El Cerrito,"512 El Cerrito Plz, El Cerrito, CA 94530",Metro 510,https://www.apartments.com/metro-510-el-cerrito-ca/4m025wl/,CA,"$2,677",Apartment,94530
,,"$2,699","$3,550",,,"[{'bedroom_type': 'Studio', 'price': '$2,199'}, {'bedroom_type': '1 Bed', 'price': '$2,699'}, {'bedroom_type': '2 Beds', 'price': '$3,550'}]",Los Angeles,"7403 La Tijera Blvd, Los Angeles, CA 90045",7403,https://www.apartments.com/7403-los-angeles-ca/77xr18z/,CA,"$2,199",Apartment,90045
,,"$2,325","$3,345",,,"[{'bedroom_type': '1 Bed', 'price': '$2,325'}, {'bedroom_type': '2 Beds', 'price': '$3,345'}]",Union City,"34588 11th St, Union City, CA 94587",The Union Flats,https://www.apartments.com/the-union-flats-union-city-ca/dd1ekmk/,CA,,Apartment,94587
,,"$3,205","$3,510",,,"[{'bedroom_type': '1 Bed', 'price': '$3,205'}, {'bedroom_type': '2 Beds', 'price': '$3,510'}]",San Francisco,"5880 3rd St, San Francisco, CA 94124",Waterbend Apartments,https://www.apartments.com/waterbend-apartments-san-francisco-ca/l7w7epd/,CA,,Apartment,94124
,,,"$3,529",,,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$3,529'}]",Oakland,"459 8th St, Oakland, CA 94607",777 Broadway,https://www.apartments.com/777-broadway-oakland-ca/rfcdjq1/,CA,,Apartment,94607
,,"$1,810","$2,097","$2,635",,"[{'bedroom_type': '1 Bed', 'price': '$1,810'}, {'bedroom_type': '2 Beds', 'price': '$2,097'}, {'bedroom_type': '3 Beds', 'price': '$2,635'}]",Riverside,"5946 Sycamore Canyon Blvd, Riverside, CA 92507",The CORE at Sycamore Highlands,https://www.apartments.com/the-core-at-sycamore-highlands-riverside-ca/4h70kmj/,CA,,Apartment,92507
