City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,1 Bed,Studio,"
													3 Beds
											","
													1 Bed
															–
2 Beds											","
Studio																	–
2 Beds													","
2 Beds													","
													2 Beds
															–
3 Beds											","
													Studio
											"
7236-7246 East Pky,Townhomes,Sacramento,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,145'}, {'bedroom_type': '2 Beds', 'price': '$1,275'}]","7236-7246 East Pky, Sacramento, CA 95823",https://www.apartments.com/parkway-townhomes-sacramento-ca/0xsjq11/,1 BA,910 Sq Ft,910,,Oct 15,"$1,275",,,"$1,145",,,,,,,
2511 Grove Way,Townhomes,Castro Valley,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,095'}, {'bedroom_type': '3 Beds', 'price': '$2,680'}]","2511 Grove Way, Castro Valley, CA 94546",https://www.apartments.com/townhouse-plaza-apartments-castro-valley-ca/6exdjfr/,2 BAs,"1,050 Sq Ft","1,050",9 - 12 Month Lease,Available Now,"$2,095","$2,680",,,,,,,,,
37101 - 37205 Magnolia St,Townhomes,Newark,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,178'}]","37101 - 37205 Magnolia St, Newark, CA 94560",https://www.apartments.com/valencia-townhomes-newark-ca/vq6006g/,2½ BAs,"1,365 Sq Ft","1,365",,Available Now,,"$3,178",,,,,,,,,
8600 Emerson Ave,Townhomes,Los Angeles,CA,"[{'bedroom_type': '\r\nStudio\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$1,950'}, {'bedroom_type': '\r\n2 Beds\t\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$2,825'}]","8600 Emerson Ave, Los Angeles, CA 90045",https://www.apartments.com/townhomes-on-emerson-los-angeles-ca/3dbh2qf/,1 BA,518 Sq Ft,518,6 - 12 Month Lease,Available Now,,,,,,,,"$1,950","$2,825",,
100 Cadillac Dr,Townhomes,Sacramento,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,400'}, {'bedroom_type': '2 Beds', 'price': '$1,625'}]","100 Cadillac Dr, Sacramento, CA 95825",https://www.apartments.com/cadillac-drive-townhomes-sacramento-ca/2kqw9d8/,1½ BAs,950 Sq Ft,950,,Nov 18,"$1,625",,,"$1,400",,,,,,,
1791 Sebastopol Rd,Townhomes,Santa Rosa,CA,"[{'bedroom_type': 'Studio', 'price': '$1,645'}, {'bedroom_type': '3 Beds', 'price': '$2,765'}]","1791 Sebastopol Rd, Santa Rosa, CA 95407",https://www.apartments.com/sendero-townhomes-santa-rosa-ca/c40slcg/,2½ BAs,"1,238 Sq Ft","1,238",,Available Now,,"$2,765",,,"$1,645",,,,,,
3680 Monroe St,Townhomes,Riverside,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,475'}]","3680 Monroe St, Riverside, CA 92504",https://www.apartments.com/presidential-townhomes-riverside-ca/nh4cvjn/,2 BAs,960 Sq Ft,960,,Oct 10,"$1,475",,,,,,,,,,
581 Pomona Ave,Townhomes,Chico,CA,"[{'bedroom_type': '4 Beds', 'price': '$1,806'}]","581 Pomona Ave, Chico, CA 95928",https://www.apartments.com/pomona-townhomes-chico-ca/wp7v83j/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Jun 10,,,"$1,806",,,,,,,,
15700 Washington Ave,Townhomes,San Lorenzo,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}, {'bedroom_type': '3 Beds', 'price': '$2,570'}]","15700 Washington Ave, San Lorenzo, CA 94580",https://www.apartments.com/washington-townhomes-san-lorenzo-ca/lmfd95g/,1½ BAs,860 Sq Ft,860,,Available Now,"$2,350","$2,570",,,,,,,,,
8031 Winter Gardens Blvd,Townhomes,El Cajon,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,050'}]","8031 Winter Gardens Blvd, El Cajon, CA 92021",https://www.apartments.com/shannon-wood-townhomes-el-cajon-ca/d2f0kdj/,2 BAs,"1,124 Sq Ft","1,124",,Available Now,,"$2,050",,,,,,,,,
4930 Polk St,Townhomes,North Highlands,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,530'}, {'bedroom_type': '3 Beds', 'price': '$1,830'}, {'bedroom_type': '4 Beds', 'price': '$1,980'}]","4930 Polk St, North Highlands, CA 95660",https://www.apartments.com/sierra-park-townhomes-north-highlands-ca/yxmqsjt/,2 BAs,706 Sq Ft,706,,Not Available,"$1,530","$1,830","$1,980",,,,,,,,
15716 Saticoy St,Townhomes,Van Nuys,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}]","15716 Saticoy St, Van Nuys, CA 91406",https://www.apartments.com/lake-balboa-townhomes-van-nuys-ca/kbqrweb/,1 BA,578 Sq Ft,578,,Available Now,,,,"$1,850",,,,,,,
2500 Chalmette Ct,Townhomes,Rocklin,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,200'}]","2500 Chalmette Ct, Rocklin, CA 95677",https://www.apartments.com/sunset-rocklin-townhomes-rocklin-ca/b3bg8d8/,2½ BAs,"1,423 Sq Ft","1,423",,Not Available,,"$2,200",,,,,,,,,
1200 S Highland Ave,Townhomes,Fullerton,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,125'}]","1200 S Highland Ave, Fullerton, CA 92832",https://www.apartments.com/fullerton-townhouse-apartments-fullerton-ca/9thw7g6/,2 BAs,"1,100 Sq Ft","1,100",,Not Available,"$2,125",,,,,,,,,,
4151 Redwood Ave,Townhomes,Los Angeles,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,700'}]","4151 Redwood Ave, Los Angeles, CA 90066",https://www.apartments.com/r1-living-townhouses-los-angeles-ca/kpetvmc/,3½ BAs,"2,180 Sq Ft","2,180",,Not Available,,"$5,700",,,,,,,,,
2110 Thurin St,Townhomes,Costa Mesa,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,861'}]","2110 Thurin St, Costa Mesa, CA 92627",https://www.apartments.com/greystone-townhouses-costa-mesa-ca/nnfd2jp/,2½ BAs,"1,175 Sq Ft","1,175",,Available Soon,,"$2,861",,,,,,,,,
8777 Graves Ave,Townhomes,Santee,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}, {'bedroom_type': '3 Beds', 'price': '$1,950'}]","8777 Graves Ave, Santee, CA 92071",https://www.apartments.com/greystone-ridge-townhomes-santee-ca/d1lczpl/,1½ BAs,990 Sq Ft,990,,Available Soon,"$1,700","$1,950",,,,,,,,,
8450 Carson Pl,Townhomes,Rancho Cucamonga,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,300'}, {'bedroom_type': '4 Beds', 'price': '$2,400'}]","8450 Carson Pl, Rancho Cucamonga, CA 91730",https://www.apartments.com/sycamore-villas-luxury-townhomes-rancho-cucamonga-ca/y3qh0pv/,2½ BAs,"1,485 - 1,977 Sq Ft","1,485",,Available Soon,,"$2,300","$2,400",,,,,,,,
16001 Liberty St,Townhomes,San Leandro,CA,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t2 Beds\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","16001 Liberty St, San Leandro, CA 94578",https://www.apartments.com/liberty-hill-townhomes-san-leandro-ca/etf636q/,1½ BAs,"1,300 Sq Ft","1,300",,Available Soon,,,,,,,,,,,
1100 E Whittier Ave,Townhomes,Hemet,CA,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\tStudio\r\n\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","1100 E Whittier Ave, Hemet, CA 92543",https://www.apartments.com/mountain-view-townhomes-hemet-ca/xxp931p/,,,,,Available Soon,,,,,,,,,,,
