Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												Studio
														–
2 Beds										","
												1 Bed
														–
3 Beds										","
												3 Beds
										"
Mosaic Hayward,Hayward,Apartment,CA,94541,"[{'bedroom_type': '1 Bed', 'price': '$2,095'}, {'bedroom_type': '2 Beds', 'price': '$2,365'}]","816-822 W A St, Hayward, CA 94541",https://www.apartments.com/mosaic-hayward-hayward-ca/mkqydgk/,,"$2,095","$2,365",,,,,
Wilshire Vermont,Los Angeles,Apartment,CA,90010,"[{'bedroom_type': 'Studio', 'price': '$1,984'}, {'bedroom_type': '1 Bed', 'price': '$2,306'}, {'bedroom_type': '2 Beds', 'price': '$3,075'}]","3183 Wilshire Blvd, Los Angeles, CA 90010",https://www.apartments.com/wilshire-vermont-los-angeles-ca/1kzq096/,"$1,984","$2,306","$3,075",,,,,
HIDDEN CREEK,Vacaville,Apartment,CA,95687,"[{'bedroom_type': '1 Bed', 'price': '$1,785'}, {'bedroom_type': '2 Beds', 'price': '$1,925'}]","1701 Marshall Rd, Vacaville, CA 95687",https://www.apartments.com/hidden-creek-vacaville-ca/qfj1nzw/,,"$1,785","$1,925",,,,,
The Triton,Foster City,Apartment,CA,94404,"[{'bedroom_type': '1 Bed', 'price': '$2,855'}, {'bedroom_type': '2 Beds', 'price': '$4,230'}, {'bedroom_type': '3 Beds', 'price': '$5,195'}]","55 Triton Park Ln, Foster City, CA 94404",https://www.apartments.com/the-triton-foster-city-ca/5ndw2xp/,,"$2,855","$4,230","$5,195",,,,
The Renaissance at City Center,Carson,Apartment,CA,90745,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$3,040'}, {'bedroom_type': '3 Beds', 'price': ''}]","21800 Avalon Blvd, Carson, CA 90745",https://www.apartments.com/the-renaissance-at-city-center-carson-ca/x2h05rm/,,,"$3,040",,,,,
Avalon Willow Glen,San Jose,Apartment,CA,95125,"[{'bedroom_type': '1 Bed', 'price': '$2,295'}, {'bedroom_type': '2 Beds', 'price': '$2,825'}]","3200 Rubino Dr, San Jose, CA 95125",https://www.apartments.com/avalon-willow-glen-san-jose-ca/bbq7exb/,,"$2,295","$2,825",,,,,
Village of Taxco,San Jose,Apartment,CA,95128,"[{'bedroom_type': '1 Bed', 'price': '$2,040'}, {'bedroom_type': '2 Beds', 'price': '$2,635'}]","1324 S Winchester, San Jose, CA 95128",https://www.apartments.com/village-of-taxco-san-jose-ca/3hjk1me/,,"$2,040","$2,635",,,,,
Missions at Sunbow Apartments,Chula Vista,Apartment,CA,91911,"[{'bedroom_type': '1 Bed', 'price': '$1,725'}, {'bedroom_type': '2 Beds', 'price': '$2,250'}, {'bedroom_type': '3 Beds', 'price': '$2,582'}]","825 E Palomar St, Chula Vista, CA 91911",https://www.apartments.com/missions-at-sunbow-apartments-chula-vista-ca/bwmx1t9/,,"$1,725","$2,250","$2,582",,,,
SUNDANCE AT VALLEJO RANCH,Vallejo,Apartment,CA,94591,"[{'bedroom_type': '1 Bed', 'price': '$1,620'}, {'bedroom_type': '2 Beds', 'price': '$1,700'}]","60 Rotary Way, Vallejo, CA 94591",https://www.apartments.com/sundance-at-vallejo-ranch-vallejo-ca/vntb5yg/,,"$1,620","$1,700",,,,,
Marea,Dana Point,Apartment,CA,92629,"[{'bedroom_type': '1 Bed', 'price': '$1,925'}, {'bedroom_type': '2 Beds', 'price': '$2,450'}]","32400-32478 Crown Valley Pky, Dana Point, CA 92629",https://www.apartments.com/marea-dana-point-ca/y7rgksr/,,"$1,925","$2,450",,,,,
College Park Apartment Homes,Upland,Apartment,CA,91786,"[{'bedroom_type': '1 Bed', 'price': '$1,720'}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': ''}]","250 N College Park Dr, Upland, CA 91786",https://www.apartments.com/college-park-apartment-homes-upland-ca/g440fsy/,,"$1,720",,,,,,
Nova Pointe Apartments,Colton,Apartment,CA,92324,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,440'}]","800 E Washington St, Colton, CA 92324",https://www.apartments.com/nova-pointe-apartments-colton-ca/qhfs50y/,,,"$1,440",,,,,
Brooks Landing,Modesto,Apartment,CA,95355,"[{'bedroom_type': '1 Bed', 'price': '$1,361'}, {'bedroom_type': '2 Beds', 'price': '$1,611'}]","3055 Floyd Ave, Modesto, CA 95355",https://www.apartments.com/brooks-landing-modesto-ca/kyxy64b/,,"$1,361","$1,611",,,,,
Sonoma at Porter Ranch,Porter Ranch,Apartment,CA,91326,"[{'bedroom_type': '1 Bed', 'price': '$1,974'}, {'bedroom_type': '2 Beds', 'price': '$2,463'}, {'bedroom_type': '3 Beds', 'price': '$3,482'}]","20310 W Sorrento Ln, Porter Ranch, CA 91326",https://www.apartments.com/sonoma-at-porter-ranch-porter-ranch-ca/3ldc0yg/,,"$1,974","$2,463","$3,482",,,,
Laurel Heights Apartments,Riverside,Apartment,CA,92503,"[{'bedroom_type': 'Studio', 'price': '$1,150'}, {'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,599'}]","8655 Arlington Ave, Riverside, CA 92503",https://www.apartments.com/laurel-heights-apartments-riverside-ca/bjeskrb/,"$1,150",,"$1,599",,,,,
Renaissance Park,Davis,Apartment,CA,95618,"[{'bedroom_type': '1 Bed', 'price': '$1,535'}, {'bedroom_type': '2 Beds', 'price': '$1,854'}]","3000 Lillard Dr, Davis, CA 95618",https://www.apartments.com/renaissance-park-davis-ca/02qzvr2/,,"$1,535","$1,854",,,,,
Warner Villa,Woodland Hills,Apartment,CA,91367,"[{'bedroom_type': '1 Bed', 'price': '$1,999'}, {'bedroom_type': '2 Beds', 'price': '$2,394'}, {'bedroom_type': '3 Beds', 'price': ''}]","5807 Topanga Canyon Blvd, Woodland Hills, CA 91367",https://www.apartments.com/warner-villa-woodland-hills-ca/hgttbt2/,,"$1,999","$2,394",,,,,
Del Flora Apartments,Redlands,Apartment,CA,92374,"[{'bedroom_type': '1 Bed', 'price': '$1,465'}, {'bedroom_type': '2 Beds', 'price': '$1,745'}]","30598-30644 Independence Ave, Redlands, CA 92374",https://www.apartments.com/del-flora-apartments-redlands-ca/ttbldfc/,,"$1,465","$1,745",,,,,
LESARRA APARTMENTS,El Dorado Hills,Apartment,CA,95762,"[{'bedroom_type': '1 Bed', 'price': '$1,999'}, {'bedroom_type': '2 Beds', 'price': '$1,810'}, {'bedroom_type': '3 Beds', 'price': ''}]","2230 Valley View Pky, El Dorado Hills, CA 95762",https://www.apartments.com/lesarra-apartments-el-dorado-hills-ca/lnz36he/,,"$1,999","$1,810",,,,,
Breve Park,Anaheim,Apartment,CA,92807,"[{'bedroom_type': 'Studio', 'price': '$1,600'}, {'bedroom_type': '1 Bed', 'price': '$1,835'}, {'bedroom_type': '2 Beds', 'price': '$2,165'}]","5601 E Orangethorpe Ave, Anaheim, CA 92807",https://www.apartments.com/breve-park-anaheim-ca/q37703z/,"$1,600","$1,835","$2,165",,,,,
Legendary Glendale,Glendale,Apartment,CA,91203,"[{'bedroom_type': '1 Bed', 'price': '$2,250'}, {'bedroom_type': '2 Beds', 'price': '$3,075'}, {'bedroom_type': '3 Beds', 'price': '$3,950'}]","300 N Central Ave, Glendale, CA 91203",https://www.apartments.com/legendary-glendale-glendale-ca/qrmyqmx/,,"$2,250","$3,075","$3,950",,,,
Avalon Sunset Towers,San Francisco,Apartment,CA,94122,"[{'bedroom_type': 'Studio', 'price': '$2,610'}, {'bedroom_type': '1 Bed', 'price': '$2,888'}, {'bedroom_type': '2 Beds', 'price': '$4,445'}]","8 Locksley Ave, San Francisco, CA 94122",https://www.apartments.com/avalon-sunset-towers-san-francisco-ca/777vxgy/,"$2,610","$2,888","$4,445",,,,,
Berkeley Central,Berkeley,Apartment,CA,94704,"[{'bedroom_type': 'Studio', 'price': '$2,840'}, {'bedroom_type': '1 Bed', 'price': '$3,045'}, {'bedroom_type': '2 Beds', 'price': '$4,410'}]","2055 Center St, Berkeley, CA 94704",https://www.apartments.com/berkeley-central-berkeley-ca/6bjeyls/,"$2,840","$3,045","$4,410",,,,,
RIVER TERRACE,Sacramento,Apartment,CA,95833,"[{'bedroom_type': '1 Bed', 'price': '$1,220'}, {'bedroom_type': '2 Beds', 'price': '$1,380'}]","2593 Millcreek Dr, Sacramento, CA 95833",https://www.apartments.com/river-terrace-sacramento-ca/2bfezg8/,,"$1,220","$1,380",,,,,
Arroyo Villa Apts,Thousand Oaks,Apartment,CA,91320,"[{'bedroom_type': '1 Bed', 'price': '$1,970'}, {'bedroom_type': '2 Beds', 'price': '$2,293'}, {'bedroom_type': '3 Beds', 'price': ''}]","1600 Rancho Conejo Blvd, Thousand Oaks, CA 91320",https://www.apartments.com/arroyo-villa-apts-thousand-oaks-ca/9yll6j7/,,"$1,970","$2,293",,,,,
Rush River Apartments,Sacramento,Apartment,CA,95831,"[{'bedroom_type': '1 Bed', 'price': '$1,703'}, {'bedroom_type': '2 Beds', 'price': '$1,833'}]","7556 Rush River Dr, Sacramento, CA 95831",https://www.apartments.com/rush-river-apartments-sacramento-ca/qfj25vx/,,"$1,703","$1,833",,,,,
Willow Creek,Poway,Apartment,CA,92064,"[{'bedroom_type': '1 Bed', 'price': '$1,853'}, {'bedroom_type': '2 Beds', 'price': '$2,134'}]","13546 Hilleary Pl, Poway, CA 92064",https://www.apartments.com/willow-creek-poway-ca/xtr6eeq/,,"$1,853","$2,134",,,,,
Chadron Apts,Hawthorne,Apartment,CA,90250,"[{'bedroom_type': '1 Bed', 'price': '$1,668'}, {'bedroom_type': '2 Beds', 'price': '$1,968'}]","13622 Chadron Ave, Hawthorne, CA 90250",https://www.apartments.com/chadron-apts-hawthorne-ca/pxm7l0t/,,"$1,668","$1,968",,,,,
River Ranch Townhomes & Apartments,Santa Clarita,Apartment,CA,91387,"[{'bedroom_type': '1 Bed', 'price': '$1,661'}, {'bedroom_type': '2 Beds', 'price': '$1,936'}, {'bedroom_type': '3 Beds', 'price': '$2,387'}]","18005 W Annes Cir, Santa Clarita, CA 91387",https://www.apartments.com/river-ranch-townhomes-apartments-santa-clarita-ca/gp59qyy/,,"$1,661","$1,936","$2,387",,,,
Topaz,Los Angeles,Apartment,CA,90013,"[{'bedroom_type': 'Studio', 'price': '$1,875'}, {'bedroom_type': '1 Bed', 'price': '$2,255'}, {'bedroom_type': '2 Beds', 'price': '$3,045'}, {'bedroom_type': '3 Beds', 'price': '$4,010'}]","550 S Main St, Los Angeles, CA 90013",https://www.apartments.com/topaz-los-angeles-ca/be62jc9/,"$1,875","$2,255","$3,045","$4,010",,,,
Windridge,Laguna Niguel,Apartment,CA,92677,"[{'bedroom_type': '2 Beds', 'price': '$2,186'}, {'bedroom_type': '3 Beds', 'price': '$2,595'}]","24922 Hidden Hills Rd, Laguna Niguel, CA 92677",https://www.apartments.com/windridge-laguna-niguel-ca/38f85gg/,,,"$2,186","$2,595",,,,
Vineyard Village,Rancho Cucamonga,Apartment,CA,91730,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}, {'bedroom_type': '2 Beds', 'price': '$1,700'}]","8950 Arrow Route Rt, Rancho Cucamonga, CA 91730",https://www.apartments.com/vineyard-village-rancho-cucamonga-ca/pe78q7s/,,"$1,600","$1,700",,,,,
Dolphin Marina Apartments,Marina Del Rey,Apartment,CA,90292,"[{'bedroom_type': 'Studio', 'price': '$2,548'}, {'bedroom_type': '1 Bed', 'price': '$2,722'}, {'bedroom_type': '2 Beds', 'price': '$3,531'}, {'bedroom_type': '3 Beds', 'price': '$4,773'}]","13900 Panay Way, Marina Del Rey, CA 90292",https://www.apartments.com/dolphin-marina-apartments-marina-del-rey-ca/f4753vv/,"$2,548","$2,722","$3,531","$4,773",,,,
Park West,Los Angeles,Apartment,CA,90045,"[{'bedroom_type': 'Studio', 'price': '$1,678'}, {'bedroom_type': '1 Bed', 'price': '$1,789'}, {'bedroom_type': '2 Beds', 'price': ''}]","9400 La Tijera Blvd, Los Angeles, CA 90045",https://www.apartments.com/park-west-los-angeles-ca/r9jynd2/,"$1,678","$1,789",,,,,,
CitySouth,San Mateo,Apartment,CA,94403,"[{'bedroom_type': '1 Bed', 'price': '$2,583'}, {'bedroom_type': '2 Beds', 'price': '$3,475'}, {'bedroom_type': '3 Beds', 'price': ''}]","3055 La Selva Ln, San Mateo, CA 94403",https://www.apartments.com/citysouth-san-mateo-ca/nlphw5q/,,"$2,583","$3,475",,,,,
Allure,Orange,Apartment,CA,92868,"[{'bedroom_type': 'Studio', 'price': '$1,910'}, {'bedroom_type': '1 Bed', 'price': '$1,840'}, {'bedroom_type': '2 Beds', 'price': '$2,577'}]","3099 W Chapman Ave, Orange, CA 92868",https://www.apartments.com/allure-orange-ca/0w52hs1/,"$1,910","$1,840","$2,577",,,,,
The Hills,Orangevale,Apartment,CA,95662,"[{'bedroom_type': '1 Bed', 'price': '$1,235'}, {'bedroom_type': '2 Beds', 'price': '$1,550'}]","9201 Madison Ave, Orangevale, CA 95662",https://www.apartments.com/the-hills-orangevale-ca/1n2ss77/,,"$1,235","$1,550",,,,,
Portofino Apartments,Temecula,Apartment,CA,92591,"[{'bedroom_type': '1 Bed', 'price': '$1,445'}, {'bedroom_type': '2 Beds', 'price': '$1,595'}, {'bedroom_type': '3 Beds', 'price': '$2,070'}]","30000 Rancho California Rd, Temecula, CA 92591",https://www.apartments.com/portofino-apartments-temecula-ca/0yfzfd0/,,"$1,445","$1,595","$2,070",,,,
Saybrook Pointe,San Jose,Apartment,CA,95123,"[{'bedroom_type': '1 Bed', 'price': '$2,483'}, {'bedroom_type': '2 Beds', 'price': '$2,829'}, {'bedroom_type': '3 Beds', 'price': '$3,529'}]","401 Briar Ridge Drive, San Jose, CA 95123",https://www.apartments.com/saybrook-pointe-san-jose-ca/mdj42yl/,,"$2,483","$2,829","$3,529",,,,
Wood Creek,Pleasant Hill,Apartment,CA,94523,"[{'bedroom_type': '1 Bed', 'price': '$2,200'}, {'bedroom_type': '2 Beds', 'price': '$2,500'}]","637 Stonebridge Way, Pleasant Hill, CA 94523",https://www.apartments.com/wood-creek-pleasant-hill-ca/hyntz90/,,"$2,200","$2,500",,,,,
El Dorado Hills,San Diego,Apartment,CA,92124,"[{'bedroom_type': '1 Bed', 'price': '$1,795'}, {'bedroom_type': '2 Beds', 'price': '$1,995'}]","3820-3860 Pendiente Ct, San Diego, CA 92124",https://www.apartments.com/el-dorado-hills-san-diego-ca/w8vnxkj/,,"$1,795","$1,995",,,,,
Savoy,Sunnyvale,Apartment,CA,94086,"[{'bedroom_type': '1 Bed', 'price': '$3,005'}, {'bedroom_type': '2 Beds', 'price': '$4,260'}]","1120 Kifer Rd, Sunnyvale, CA 94086",https://www.apartments.com/savoy-sunnyvale-ca/wz9c7ck/,,"$3,005","$4,260",,,,,
Miramonte and Trovas,Sacramento,Apartment,CA,95835,"[{'bedroom_type': '1 Bed', 'price': '$1,505'}, {'bedroom_type': '2 Beds', 'price': '$1,722'}, {'bedroom_type': '3 Beds', 'price': ''}]","4850 Natomas Blvd, Sacramento, CA 95835",https://www.apartments.com/miramonte-and-trovas-sacramento-ca/ny5803q/,,"$1,505","$1,722",,,,,
Avana Springs,Corona,Apartment,CA,92880,"[{'bedroom_type': '1 Bed', 'price': '$1,330'}, {'bedroom_type': '2 Beds', 'price': '$1,426'}]","650 Ebbcreek Dr, Corona, CA 92880",https://www.apartments.com/avana-springs-corona-ca/8lg12d0/,,"$1,330","$1,426",,,,,
The Vineyard Luxury Apartments,Petaluma,Apartment,CA,94954,"[{'bedroom_type': '1 Bed', 'price': '$1,929'}, {'bedroom_type': '2 Beds', 'price': '$1,914'}, {'bedroom_type': '3 Beds', 'price': ''}]","One Lakeville Cir, Petaluma, CA 94954",https://www.apartments.com/the-vineyard-luxury-apartments-petaluma-ca/9dpz676/,,"$1,929","$1,914",,,,,
The Arbors at California Oaks,Murrieta,Apartment,CA,92562,"[{'bedroom_type': '1 Bed', 'price': '$1,307'}, {'bedroom_type': '2 Beds', 'price': '$1,622'}]","24375 Jackson Ave, Murrieta, CA 92562",https://www.apartments.com/the-arbors-at-california-oaks-murrieta-ca/8mnw3e3/,,"$1,307","$1,622",,,,,
AMLI Lex on Orange,Glendale,Apartment,CA,91203,"[{'bedroom_type': 'Studio', 'price': '$1,972'}, {'bedroom_type': '1 Bed', 'price': '$2,138'}, {'bedroom_type': '2 Beds', 'price': '$3,110'}]","321 N Orange St, Glendale, CA 91203",https://www.apartments.com/amli-lex-on-orange-glendale-ca/geg65mw/,"$1,972","$2,138","$3,110",,,,,
Country Club Villas/Country Club Terrace,Upland,Apartment,CA,91784,"[{'bedroom_type': '2 Beds', 'price': '$2,085'}, {'bedroom_type': '3 Beds', 'price': '$2,350'}]","1501 Golf Club Dr, Upland, CA 91784",https://www.apartments.com/country-club-villas-country-club-terrace-upland-ca/v165vpe/,,,"$2,085","$2,350",,,,
Summerwood,Hayward,Apartment,CA,94541,"[{'bedroom_type': '1 Bed', 'price': '$1,915'}, {'bedroom_type': '2 Beds', 'price': '$2,310'}, {'bedroom_type': '3 Beds', 'price': ''}]","21701 Foothill Blvd, Hayward, CA 94541",https://www.apartments.com/summerwood-hayward-ca/zt04krx/,,"$1,915","$2,310",,,,,
