1 bed,2 beds,Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Studio,3 beds,6 beds,4 beds
,1460.0,Quail Pointe Apartments,Sacramento,Apartment,CA,95827,"3435 Routier Rd, Sacramento, CA 95827",https://www.apartments.com/quail-pointe-apartments-sacramento-ca/zqy1x5z/,,,,
,,Renaissance at City Center Apartments,Carson,Apartment,CA,90745,"21800 Avalon Blvd, Carson, CA 90745",https://www.apartments.com/renaissance-at-city-center-apartments-carson-ca/x2h05rm/,,,,
1999.0,2369.0,Summerwood,Hayward,Apartment,CA,94541,"21701 Foothill Blvd, Hayward, CA 94541",https://www.apartments.com/summerwood-hayward-ca/zt04krx/,,,,
2226.0,2587.0,Sereno Apartment Homes,Chula Vista,Apartment,CA,91911,"930 Third Ave, Chula Vista, CA 91911",https://www.apartments.com/sereno-apartment-homes-chula-vista-ca/wzjfq2j/,,,,
2020.0,2595.0,El Dorado Hills,San Diego,Apartment,CA,92124,"3820-3860 Pendiente Ct, San Diego, CA 92124",https://www.apartments.com/el-dorado-hills-san-diego-ca/w8vnxkj/,,,,
2121.0,2634.0,The Terrace Apartments,Orange,Apartment,CA,92868,"200 City Blvd W, Orange, CA 92868",https://www.apartments.com/the-terrace-apartments-orange-ca/g1c1p6x/,1779.0,,,
2105.0,2870.0,IMT Stevenson Ranch,Stevenson Ranch,Apartment,CA,91381,"25399 The Old Rd, Stevenson Ranch, CA 91381",https://www.apartments.com/imt-stevenson-ranch-stevenson-ranch-ca/ds2ppfk/,,,,
2120.0,2685.0,IMT Pleasant Hill,Pleasant Hill,Apartment,CA,94523,"225 Coggins Dr, Pleasant Hill, CA 94523",https://www.apartments.com/imt-pleasant-hill-pleasant-hill-ca/gx5z4fz/,1795.0,,,
2725.0,3275.0,Millennium South Bay,Hawthorne,Apartment,CA,90250,"12530 Crenshaw Blvd, Hawthorne, CA 90250",https://www.apartments.com/millennium-south-bay-hawthorne-ca/np8bbyn/,2595.0,,,
,3385.0,Tierrasanta Ridge,San Diego,Apartment,CA,92124,"5410 Repecho Dr, San Diego, CA 92124",https://www.apartments.com/tierrasanta-ridge-san-diego-ca/scw8037/,,,,
,2781.0,Urbana Chula Vista,Chula Vista,Apartment,CA,91910,"393 H St, Chula Vista, CA 91910",https://www.apartments.com/urbana-chula-vista-chula-vista-ca/dv287nk/,,,,
,,The SLO,San Luis Obispo,Apartment,CA,93405,"1050 Foothill Blvd, San Luis Obispo, CA 93405",https://www.apartments.com/the-slo-san-luis-obispo-ca/03198q1/,,,599.0,
2250.0,2395.0,DYLN Apartments,Newark,Apartment,CA,94560,"35750 Bettencourt St, Newark, CA 94560",https://www.apartments.com/dyln-apartments-newark-ca/bdmlkzb/,,,,
,5995.0,Paxton Calabasas,Calabasas,Apartment,CA,91302,"4240 Las Virgenes Rd, Calabasas, CA 91302",https://www.apartments.com/paxton-calabasas-calabasas-ca/lvnb31e/,,6475.0,,
2400.0,2950.0,Latitude 37,San Jose,Apartment,CA,95125,"1255 Babb Ct, San Jose, CA 95125",https://www.apartments.com/latitude-37-san-jose-ca/ejfzxdn/,,,,
1845.0,,Windsong Apartments,Chula Vista,Apartment,CA,91910,"601-645 Sea Vale St, Chula Vista, CA 91910",https://www.apartments.com/windsong-apartments-chula-vista-ca/d6s1bll/,,,,
,2340.0,Terra at Mission Trails,San Diego,Apartment,CA,92120,"7707 Mission Gorge Rd, San Diego, CA 92120",https://www.apartments.com/terra-at-mission-trails-san-diego-ca/9sqsmb6/,1815.0,,,
1995.0,2542.0,Metro 77 & 85 Apartments,San Leandro,Apartment,CA,94577,"77-85 Estabrook St, San Leandro, CA 94577",https://www.apartments.com/metro-77-85-apartments-san-leandro-ca/dqrg8tk/,1994.0,,,
2450.0,2980.0,Saybrook Pointe,San Jose,Apartment,CA,95123,"401 Briar Ridge Drive, San Jose, CA 95123",https://www.apartments.com/saybrook-pointe-san-jose-ca/mdj42yl/,,3850.0,,
,4357.0,Preserve at Marin,Corte Madera,Apartment,CA,94925,"350 Robin Dr, Corte Madera, CA 94925",https://www.apartments.com/preserve-at-marin-corte-madera-ca/q7gqk7x/,,4230.0,,
2545.0,3405.0,Pacific Bay Vistas Apartments,San Bruno,Apartment,CA,94066,"2 Pacific Bay Cir, San Bruno, CA 94066",https://www.apartments.com/pacific-bay-vistas-apartments-san-bruno-ca/m3d3jlk/,,,,
2491.0,2857.0,Sonterra at Foothill Ranch,Foothill Ranch,Apartment,CA,92610,"26322 Towne Centre Dr, Foothill Ranch, CA 92610",https://www.apartments.com/sonterra-at-foothill-ranch-foothill-ranch-ca/4mjkn7l/,,,,
2057.0,2579.0,The Oaks,Santa Clarita,Apartment,CA,91387,"27105 Silver Oak Ln, Santa Clarita, CA 91387",https://www.apartments.com/the-oaks-santa-clarita-ca/j3qt204/,,3735.0,,
2259.0,2824.0,Vista Del Lago,Mission Viejo,Apartment,CA,92692,"21622 Marguerite Pky, Mission Viejo, CA 92692",https://www.apartments.com/vista-del-lago-mission-viejo-ca/5735v6p/,,,,
2671.0,3197.0,La Terrazza,Colma,Apartment,CA,94014,"7800 El Camino Real, Colma, CA 94014",https://www.apartments.com/la-terrazza-colma-ca/j36mg54/,2407.0,,,
2920.0,3255.0,Avalon Monrovia,Monrovia,Apartment,CA,91016,"825 S Myrtle Ave, Monrovia, CA 91016",https://www.apartments.com/avalon-monrovia-monrovia-ca/y1zwvrv/,,4030.0,,
,,WINDSOR MANOR I,San Marcos,Apartment,CA,92069,"250 Knoll Rd, San Marcos, CA 92069",https://www.apartments.com/windsor-manor-i-san-marcos-ca/k7h7clb/,,,,
2074.0,,Willow Creek,Poway,Apartment,CA,92064,"13546 Hilleary Pl, Poway, CA 92064",https://www.apartments.com/willow-creek-poway-ca/xtr6eeq/,,,,
,3499.0,Beverly Arnaz,Los Angeles,Apartment,CA,90048,"467 Arnaz Dr, Los Angeles, CA 90048",https://www.apartments.com/beverly-arnaz-los-angeles-ca/ekrw6lm/,,,,
,,Circa 2020,Redlands,Apartment,CA,92374,"27000 W Lugonia Ave, Redlands, CA 92374",https://www.apartments.com/circa-2020-redlands-ca/k1t86zc/,,,,
,,Trio Apartments,Pasadena,Apartment,CA,91101,"44 N Madison Ave, Pasadena, CA 91101",https://www.apartments.com/trio-apartments-pasadena-ca/xrbj4sp/,2321.0,,,
,,Villas Antonio Apartment Homes,Rancho Santa Margarita,Apartment,CA,92688,"22482 Alma Aldea, Rancho Santa Margarita, CA 92688",https://www.apartments.com/villas-antonio-apartment-homes-rancho-santa-margarita-ca/xx72cvm/,,,,
1993.0,,Sycamore Canyon Apartments,Anaheim Hills,Apartment,CA,92808,"8201 E Blackwillow Cir, Anaheim Hills, CA 92808",https://www.apartments.com/sycamore-canyon-apartments-anaheim-hills-ca/jm9xqs4/,,,,
,,Rancho Monte Vista Luxury Apartment Homes,Upland,Apartment,CA,91786,"2100 W Arrow Rt, Upland, CA 91786",https://www.apartments.com/rancho-monte-vista-luxury-apartment-homes-upland-ca/1fgj6s6/,,,,
,,La Verne Village Luxury Apartment Homes,La Verne,Apartment,CA,91750,"2777-2855 Foothill Blvd, La Verne, CA 91750",https://www.apartments.com/la-verne-village-luxury-apartment-homes-la-verne-ca/n59hrnm/,,,,
,,College Park Apartment Homes,Upland,Apartment,CA,91786,"250 N College Park Dr, Upland, CA 91786",https://www.apartments.com/college-park-apartment-homes-upland-ca/g440fsy/,,,,
,3350.0,Costa Verde Village,San Diego,Apartment,CA,92122,"8720 Costa Verde Blvd, San Diego, CA 92122",https://www.apartments.com/costa-verde-village-san-diego-ca/q2krkky/,,,,
2093.0,,NOLA 624,West Covina,Apartment,CA,91790,"624 S Glendora Ave, West Covina, CA 91790",https://www.apartments.com/nola-624-west-covina-ca/m8t8xjk/,,,,
2150.0,,Villa Victoria Apartments,San Jose,Apartment,CA,95129,"7200 Bollinger Rd, San Jose, CA 95129",https://www.apartments.com/villa-victoria-apartments-san-jose-ca/kcrb2z8/,,,,
,,Temecula Creek Villas,Temecula,Apartment,CA,92592,"31220 Samantha Ln, Temecula, CA 92592",https://www.apartments.com/temecula-creek-villas-temecula-ca/8yv2123/,,,,
1445.0,1665.0,The Regent Palm Desert Apartment Homes,Palm Desert,Apartment,CA,92260,"73373 Country Club Dr, Palm Desert, CA 92260",https://www.apartments.com/the-regent-palm-desert-apartment-homes-palm-desert-ca/ygq6nps/,,,,
,2627.0,Brookhurst Place,Garden Grove,Apartment,CA,92840,"12801 Brookhurst St, Garden Grove, CA 92840",https://www.apartments.com/brookhurst-place-garden-grove-ca/xfhzfjq/,,,,
,2545.0,Vineyard Creek Apartments,Santa Rosa,Apartment,CA,95403,"802 Vineyard Creek Dr, Santa Rosa, CA 95403",https://www.apartments.com/vineyard-creek-apartments-santa-rosa-ca/lt6j9pd/,,,,
,,55 + Casa Escondida,Escondido,Apartment,CA,92025,"715 N Broadway, Escondido, CA 92025",https://www.apartments.com/55-casa-escondida-escondido-ca/sy1kck5/,,,,
2180.0,,The Artisan Residences at Bella Terra,Huntington Beach,Apartment,CA,92647,"15555 Huntington Village Ln, Huntington Beach, CA 92647",https://www.apartments.com/the-artisan-residences-at-bella-terra-huntington-beach-ca/661yv7v/,,,,
,,Hunter's Run Apartments,El Cajon,Apartment,CA,92021,"532 Broadway, El Cajon, CA 92021",https://www.apartments.com/hunters-run-apartments-el-cajon-ca/nx5kk7p/,,,,
2545.0,3545.0,Glenbrook Apartments,Cupertino,Apartment,CA,95014,"10100 Mary Ave, Cupertino, CA 95014",https://www.apartments.com/glenbrook-apartments-cupertino-ca/e3bpmzq/,,4395.0,,
3195.0,3995.0,Palo Alto Plaza Apartments,Mountain View,Apartment,CA,94040,"521-541 Del Medio Ave, Mountain View, CA 94040",https://www.apartments.com/palo-alto-plaza-apartments-mountain-view-ca/d13wckh/,2645.0,,,
1785.0,1895.0,Riverstone Apartments,Sacramento,Apartment,CA,95831,"7459 Rush River Dr, Sacramento, CA 95831",https://www.apartments.com/riverstone-apartments-sacramento-ca/45zbdch/,,,,
2190.0,2880.0,The Villas at Camino Bernardo,San Diego,Apartment,CA,92127,"11203 Paseo Montanoso, San Diego, CA 92127",https://www.apartments.com/the-villas-at-camino-bernardo-san-diego-ca/l3rfxfg/,,,,
2170.0,2695.0,Aventine at Aliso Viejo,Aliso Viejo,Apartment,CA,92656,"22501 Chase, Aliso Viejo, CA 92656",https://www.apartments.com/aventine-at-aliso-viejo-aliso-viejo-ca/bn8hef8/,,,,
,,The James Apartments,Riverside,Apartment,CA,92504,"7600 Ambergate Pl, Riverside, CA 92504",https://www.apartments.com/the-james-apartments-riverside-ca/52x029n/,,,,
6300.0,7300.0,888 Hilgard in Westwood Furnished Rentals,Los Angeles,Apartment,CA,90024,"888 Hilgard Ave, Los Angeles, CA 90024",https://www.apartments.com/888-hilgard-in-westwood-furnished-rentals-los-angeles-ca/d2rh6bh/,,,,
2095.0,2315.0,The Atherton,Manteca,Apartment,CA,95337,"717 W Atherton Dr, Manteca, CA 95337",https://www.apartments.com/the-atherton-manteca-ca/pqnypfv/,1725.0,2710.0,,
3650.0,3999.0,The R2 by CLG,Los Angeles,Apartment,CA,90066,"4133 S Redwood Ave, Los Angeles, CA 90066",https://www.apartments.com/the-r2-by-clg-los-angeles-ca/fjy5svt/,,,,
,1825.0,Fountain Plaza Hills,Vallejo,Apartment,CA,94591,"300 Hilary Way, Vallejo, CA 94591",https://www.apartments.com/fountain-plaza-hills-vallejo-ca/6b443es/,,,,
,,Boardwalk Luxury Apartments,Bakersfield,Apartment,CA,93313,"5201 Gasol Ct, Bakersfield, CA 93313",https://www.apartments.com/boardwalk-luxury-apartments-bakersfield-ca/t7q000c/,,,,
,,Art Set NoHo,North Hollywood,Apartment,CA,91601,"11525 Chandler Blvd, North Hollywood, CA 91601",https://www.apartments.com/art-set-noho-north-hollywood-ca/r3f1hr0/,2195.0,,,
,,Uptown Fullerton,Fullerton,Apartment,CA,92835,"2656 Associated Rd, Fullerton, CA 92835",https://www.apartments.com/uptown-fullerton-fullerton-ca/gbpxb9y/,,,,
1781.0,,The Courtyards,Norwalk,Apartment,CA,90650,"12301-12401 Studebaker Rd, Norwalk, CA 90650",https://www.apartments.com/the-courtyards-norwalk-ca/5fg7evp/,,,,
,,Villa Serrano,Anaheim,Apartment,CA,92804,"201 S Magnolia Ave, Anaheim, CA 92804",https://www.apartments.com/villa-serrano-anaheim-ca/ckfkr5g/,,,,
1552.0,,The Vue Apartments,Sacramento,Apartment,CA,95833,"2450 Seamist Dr, Sacramento, CA 95833",https://www.apartments.com/the-vue-apartments-sacramento-ca/8wb0sd0/,,,,
1360.0,1490.0,Fountain Grove Apartments,Sacramento,Apartment,CA,95842,"5101 Andrea Blvd, Sacramento, CA 95842",https://www.apartments.com/fountain-grove-apartments-sacramento-ca/l7rvfre/,,,,
,,South Kenmore Apartments,Los Angeles,Apartment,CA,90006,"915 S Kenmore Ave, Los Angeles, CA 90006",https://www.apartments.com/south-kenmore-apartments-los-angeles-ca/6sdswrs/,1425.0,,,
,3060.0,Seagate Condominium Rentals,Carlsbad,Apartment,CA,92011,"6555 Sea Gate Rd, Carlsbad, CA 92011",https://www.apartments.com/seagate-condominium-rentals-carlsbad-ca/y63geft/,,,,
1840.0,2015.0,TIDES AT GRAND TERRACE,Colton,Apartment,CA,92324,"1699 E Washington St, Colton, CA 92324",https://www.apartments.com/tides-at-grand-terrace-colton-ca/b4f64vb/,,,,
,,La Terraza Apartments,San Diego,Apartment,CA,92127,"10878 Poblado Rd, San Diego, CA 92127",https://www.apartments.com/la-terraza-apartments-san-diego-ca/517s4bp/,,,,
2997.0,3220.0,The Presidio Residences,San Francisco,Apartment,CA,94129,"222 Halleck St, San Francisco, CA 94129",https://www.apartments.com/the-presidio-residences-san-francisco-ca/n3sbxgq/,,6950.0,,4515.0
2100.0,2700.0,Palm Court Apartments,Los Angeles,Apartment,CA,90036,"740 S Burnside Ave, Los Angeles, CA 90036",https://www.apartments.com/palm-court-apartments-los-angeles-ca/gm6gjqy/,,,,
1595.0,1795.0,Clearwater Apartments,Davis,Apartment,CA,95618,"4141 Cowell Blvd, Davis, CA 95618",https://www.apartments.com/clearwater-apartments-davis-ca/88n7rh1/,,,,
,,Park View Apartment Homes,Thousand Oaks,Apartment,CA,91362,"256-268 Erbes Rd, Thousand Oaks, CA 91362",https://www.apartments.com/park-view-apartment-homes-thousand-oaks-ca/s18f6b4/,,,,
,,Golden Valley Luxury Apartments,Bakersfield,Apartment,CA,93307,"600 Hosking Ave, Bakersfield, CA 93307",https://www.apartments.com/golden-valley-luxury-apartments-bakersfield-ca/ld2weze/,,1600.0,,
,2140.0,Civic Plaza Apartments,El Cerrito,Apartment,CA,94530,"10944 San Pablo Ave, El Cerrito, CA 94530",https://www.apartments.com/civic-plaza-apartments-el-cerrito-ca/1j5gxw5/,,,,
,,Atlantic Times Square,Monterey Park,Apartment,CA,91754,"580 N Atlantic Blvd, Monterey Park, CA 91754",https://www.apartments.com/atlantic-times-square-monterey-park-ca/2s5f8c8/,,3500.0,,
1925.0,,The Aspens Riverside,Riverside,Apartment,CA,92504,"7955 Magnolia Ave, Riverside, CA 92504",https://www.apartments.com/the-aspens-riverside-riverside-ca/nq1v8gn/,,,,
1605.0,,Glen Forest Apartments,Anaheim,Apartment,CA,92804,"145 S Westchester Dr, Anaheim, CA 92804",https://www.apartments.com/glen-forest-apartments-anaheim-ca/p7bd98r/,,,,
,1985.0,The Drake and Anderson Court,Davis,Apartment,CA,95616,"1905 Anderson Rd, Davis, CA 95616",https://www.apartments.com/the-drake-and-anderson-court-davis-ca/8j8wf23/,,,,
3025.0,3650.0,The Meadows Apartments,Sunnyvale,Apartment,CA,94085,"1000 Escalon Ave, Sunnyvale, CA 94085",https://www.apartments.com/the-meadows-apartments-sunnyvale-ca/4fzr7tk/,,,,
,2850.0,Palm View Village,Torrance,Apartment,CA,90504,"17575 Yukon Ave, Torrance, CA 90504",https://www.apartments.com/palm-view-village-torrance-ca/tt4kpfc/,,,,
,,Cedar Flats,Chico,Apartment,CA,95926,"1221 N Cedar St, Chico, CA 95926",https://www.apartments.com/cedar-flats-chico-ca/r1t76c3/,,,,
1495.0,1695.0,Foxwood Furnished Apartments,San Diego,Apartment,CA,92154,"4260 Palm Ave, San Diego, CA 92154",https://www.apartments.com/foxwood-furnished-apartments-san-diego-ca/n7dsw5p/,,,,
,,Broadstone. Apartment Homes,San Bernardino,Apartment,CA,92407,"1930 W College Ave, San Bernardino, CA 92407",https://www.apartments.com/broadstone-apartment-homes-san-bernardino-ca/y13r95r/,,,,
,,Lakewood Manor,Lakewood,Apartment,CA,90712,"4907 1/4 Hayter Ave, Lakewood, CA 90712",https://www.apartments.com/lakewood-manor-lakewood-ca/1sbhf27/,,,,
,,The U,Davis,Apartment,CA,95618,"625 Cantrill Dr, Davis, CA 95618",https://www.apartments.com/the-u-davis-ca/16h2wy4/,,,,
2420.0,,Aquatera,San Diego,Apartment,CA,92108,"5777 Mission Center Rd, San Diego, CA 92108",https://www.apartments.com/aquatera-san-diego-ca/tb1xbsc/,,,,
,,Vista Gardens Apartments,Hemet,Apartment,CA,92543,"555 E Fruitvale Ave, Hemet, CA 92543",https://www.apartments.com/vista-gardens-apartments-hemet-ca/hh7p150/,,,,
,2850.0,Ascent Apartment Homes,Los Alamitos,Apartment,CA,90720,"11152 Wallingsford Rd, Los Alamitos, CA 90720",https://www.apartments.com/ascent-apartment-homes-los-alamitos-ca/f3zp3cr/,,3850.0,,
,,Hillsborough Village Senior Apartments,Chino,Apartment,CA,91710,"11902 Central Ave, Chino, CA 91710",https://www.apartments.com/hillsborough-village-senior-apartments-chino-ca/jzkksc5/,,,,
,,Sea View Villas,Pacific Palisades,Apartment,CA,90272,"17325 Castellammare Dr, Pacific Palisades, CA 90272",https://www.apartments.com/sea-view-villas-pacific-palisades-ca/rhlm9n2/,,14995.0,,
1905.0,2450.0,Woodcreek Apartments,Fremont,Apartment,CA,94538,"40914 Ingersoll Ter, Fremont, CA 94538",https://www.apartments.com/woodcreek-apartments-fremont-ca/3mtchpe/,,,,
,2240.0,The Arbors Apartments,Santee,Apartment,CA,92071,"9700 Magnolia Park Dr, Santee, CA 92071",https://www.apartments.com/the-arbors-apartments-santee-ca/7dqmfgz/,,,,
2050.0,2500.0,Windemere Apartments,Sunnyvale,Apartment,CA,94085,"395-396 Ano Nuevo Ave, Sunnyvale, CA 94085",https://www.apartments.com/windemere-apartments-sunnyvale-ca/s6ze4m4/,,,,
3024.0,4305.0,Stella by Common,Marina Del Rey,Apartment,CA,90292,"13488 W Maxella Ave, Marina Del Rey, CA 90292",https://www.apartments.com/stella-by-common-marina-del-rey-ca/47xm0nh/,,,,
,,Rancho Hillside,El Cajon,Apartment,CA,92019,"12367 Calle Albara, El Cajon, CA 92019",https://www.apartments.com/rancho-hillside-el-cajon-ca/9cb22x7/,,,,
,,Bay Pointe Apartments,San Diego,Apartment,CA,92109,"3866 Ingraham St, San Diego, CA 92109",https://www.apartments.com/bay-pointe-apartments-san-diego-ca/bq4wff8/,1950.0,,,
,1910.0,Wake Forest,Davis,Apartment,CA,95616,"1313 Wake Forest Dr, Davis, CA 95616",https://www.apartments.com/wake-forest-davis-ca/3716dng/,,,,
,,Greenridge Apartments - No Availability,Sacramento,Apartment,CA,95824,"5351 47th Ave, Sacramento, CA 95824",https://www.apartments.com/greenridge-apartments-no-availability-sacramento-ca/y078b3r/,,,,
,3395.0,420 Illinois St.,El Segundo,Apartment,CA,90245,"420 Illinois St, El Segundo, CA 90245",https://www.apartments.com/420-illinois-st-el-segundo-ca/fcxp8ws/,,,,
2135.0,2400.0,Aspire Apartments,Tracy,Apartment,CA,95304,"2725 Pavillion Pkwy, Tracy, CA 95304",https://www.apartments.com/aspire-apartments-tracy-ca/l940xjf/,,2640.0,,
,,Club Torrey Pines,San Diego,Apartment,CA,92130,"12646 Torrey Bluff Dr, San Diego, CA 92130",https://www.apartments.com/club-torrey-pines-san-diego-ca/sdjnx85/,,,,
1300.0,,Greenbriar Villa Apartments,Modesto,Apartment,CA,95355,"2100 Coffee Rd, Modesto, CA 95355",https://www.apartments.com/greenbriar-villa-apartments-modesto-ca/vsndthe/,,,,
,,Carroll Apartments,San Diego,Apartment,CA,92126,"9494 Carroll Canyon Rd, San Diego, CA 92126",https://www.apartments.com/carroll-apartments-san-diego-ca/rxebxe0/,,,,
,,Monterey Pines Apartments,Loma Linda,Apartment,CA,92354,"25701 Van Leuven Ave, Loma Linda, CA 92354",https://www.apartments.com/monterey-pines-apartments-loma-linda-ca/yfgsxpt/,,,,
2667.0,3663.0,The Current,Long Beach,Apartment,CA,90802,"707 E Ocean Blvd, Long Beach, CA 90802",https://www.apartments.com/the-current-long-beach-ca/q50y7zy/,2401.0,,,
,,The Overlook at Rancho Belago,Moreno Valley,Apartment,CA,92555,"12963 Moreno Beach Dr, Moreno Valley, CA 92555",https://www.apartments.com/the-overlook-at-rancho-belago-moreno-valley-ca/k9n0ryb/,,2750.0,,
,,Villa Napoli Apartments,Chula Vista,Apartment,CA,91911,"566 Naples St, Chula Vista, CA 91911",https://www.apartments.com/villa-napoli-apartments-chula-vista-ca/1txk097/,,,,
,,East Orange Village Apartments,Chula Vista,Apartment,CA,91911,"225-245 E Orange Ave, Chula Vista, CA 91911",https://www.apartments.com/east-orange-village-apartments-chula-vista-ca/h57je82/,,,,
,,Corona Pointe Resort,Riverside,Apartment,CA,92505,"3957 Pierce St, Riverside, CA 92505",https://www.apartments.com/corona-pointe-resort-riverside-ca/fwb6tns/,,,,
2099.0,,Ellinwood Apartments,Pleasant Hill,Apartment,CA,94523,"400 Longbrook Way, Pleasant Hill, CA 94523",https://www.apartments.com/ellinwood-apartments-pleasant-hill-ca/wtmp9pj/,,,,
,,Cantabria Apartments,Menifee,Apartment,CA,92584,"30951 Hanover Ln, Menifee, CA 92584",https://www.apartments.com/cantabria-apartments-menifee-ca/y5lre5v/,,,,
1560.0,1720.0,The Fairmont Apartments,Woodland,Apartment,CA,95776,"575 Matmor Rd, Woodland, CA 95776",https://www.apartments.com/the-fairmont-apartments-woodland-ca/6bmk67s/,,,,
,,Living the Best Life at Arbor Pointe,Sacramento,Apartment,CA,95827,"9750 Old Placerville Rd, Sacramento, CA 95827",https://www.apartments.com/living-the-best-life-at-arbor-pointe-sacramento-ca/s7vjv06/,,,,
2450.0,2483.0,CitiZen Beach Collection,Redondo Beach,Apartment,CA,90277,"1113 Barbara St, Redondo Beach, CA 90277",https://www.apartments.com/citizen-beach-collection-redondo-beach-ca/svt5014/,,3733.0,,
,,Crescent Heights Luxury Apartment Homes,Murrieta,Apartment,CA,92562,"40800 Sunflower Rd, Murrieta, CA 92562",https://www.apartments.com/crescent-heights-luxury-apartment-homes-murrieta-ca/b2j8sp9/,,,,
,,Pepperwood Knoll Apartments,Sacramento,Apartment,CA,95842,"7200 Pepperwood Knoll Ln, Sacramento, CA 95842",https://www.apartments.com/pepperwood-knoll-apartments-sacramento-ca/h1295y2/,,,,
,,Cambridge Park Apartments,Sacramento,Apartment,CA,95842,"5800 Hamilton St, Sacramento, CA 95842",https://www.apartments.com/cambridge-park-apartments-sacramento-ca/m848cmh/,,,,
