1 bed,City_Rent,Type,State_Rent,Zip_code,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,6 beds,2 beds,4 beds,3 beds,5 beds,Studio
,Livermore,Houses,CA,94550,"1353 Windswept Cmn Livermore, CA 94550",https://www.apartments.com/1353-windswept-cmn-livermore-ca/2dwbbt8/,2.5 baths,"1,428 sq ft","1,428",,,,3950,,
,Palmdale,Houses,CA,93550,"1503 E Avenue Q6 Palmdale, CA 93550",https://www.apartments.com/1503-e-avenue-q6-palmdale-ca/d2htdth/,1 bath,"1,000 sq ft","1,000",,1600,,2500,,
,Sunnyvale,Houses,CA,94089,"213 Velvetlake Dr Sunnyvale, CA 94089",https://www.apartments.com/213-velvetlake-dr-sunnyvale-ca/vcn73cf/,2 baths,"1,108 sq ft","1,108",,,,3500,,
,Culver City,Houses,CA,90230,"5361 Inglewood Blvd Culver City, CA 90230",https://www.apartments.com/5361-inglewood-blvd-culver-city-ca/7dhd0zz/,2 baths,"2,100 sq ft","2,100",,,,4500,,
,Atherton,Houses,CA,94027,"51 Watkins Ave Atherton, CA 94027",https://www.apartments.com/51-watkins-ave-atherton-ca/959rvs6/,2 baths,"2,400 sq ft","2,400",,,6400,,,
,Van Nuys,Houses,CA,91405,"14431 Cohasset St Van Nuys, CA 91405",https://www.apartments.com/14431-cohasset-st-van-nuys-ca/mnd0lrl/,2 baths,"1,802 sq ft","1,802",,,5750,,,
,Mission Viejo,Houses,CA,92692,"28282 Borgona Mission Viejo, CA 92692",https://www.apartments.com/28282-borgona-mission-viejo-ca/yzw0ntt/,2 baths,"1,472 sq ft","1,472",,,,3100,,
,Running Springs,Houses,CA,92382,"31474 Pleasant Dr Running Springs, CA 92382",https://www.apartments.com/31474-pleasant-dr-running-springs-ca/pl3g4nv/,1 bath,810 sq ft,810,,1995,,,,
1695,Palo Alto,Houses,CA,94306,"3926 Park Blvd Palo Alto, CA 94306",https://www.apartments.com/3926-park-blvd-palo-alto-ca/764dx5x/,1 bath,400 sq ft,400,,,,,,
,Los Angeles,Houses,CA,90068,"7228 Woodrow Wilson Dr Los Angeles, CA 90068",https://www.apartments.com/7228-woodrow-wilson-dr-los-angeles-ca/es3bm6p/,2.5 baths,"2,236 sq ft","2,236",,7200,,,,
,Pomona,Houses,CA,91767,"1346 Densmore St Pomona, CA 91767",https://www.apartments.com/1346-densmore-st-pomona-ca/yylvmes/,3 baths,"2,000 sq ft","2,000",,,3500,,,
,Los Angeles,Houses,CA,90291,"1333 6th Ave Los Angeles, CA 90291",https://www.apartments.com/1333-6th-ave-los-angeles-ca/cbx1lrf/,1.5 baths,"1,150 sq ft","1,150",,6875,,,,
,Los Angeles,Houses,CA,90034,"3128 Vera Ave Los Angeles, CA 90034",https://www.apartments.com/3128-vera-ave-los-angeles-ca/vycwczf/,1 bath,400 sq ft,400,,,,,,1400
1650,Pasadena,Houses,CA,91104,"509 E Rio Grande St Pasadena, CA 91104",https://www.apartments.com/509-e-rio-grande-st-pasadena-ca/zd5kbty/,1 bath,520 sq ft,520,,,,,,
,Van Nuys,Houses,CA,91401,"14203 Tiara St Van Nuys, CA 91401",https://www.apartments.com/14203-tiara-st-van-nuys-ca/66mb4qt/,1 bath,985 sq ft,985,,2250,,,,
850,Sacramento,Houses,CA,95826,"9056 La Riviera Dr Sacramento, CA 95826",https://www.apartments.com/9056-la-riviera-dr-sacramento-ca/dx0n2ml/,1 bath,"1,800 sq ft","1,800",,,,,,
,Paso Robles,Houses,CA,93446,"520 32nd St Paso Robles, CA 93446",https://www.apartments.com/520-32nd-st-paso-robles-ca/eyjm2tp/,2 baths,"1,000 sq ft","1,000",,,,2750,,
,Glendale,Houses,CA,91214,"3351 Montrose Ave Glendale, CA 91214",https://www.apartments.com/3351-montrose-ave-glendale-ca/smylrw6/,1 bath,800 sq ft,800,,2350,,,,
,Oakland,Houses,CA,94621,"1521 79th Ave Oakland, CA 94621",https://www.apartments.com/1521-79th-ave-oakland-ca/gh26egx/,2 baths,"1,400 sq ft","1,400",,,,3000,,
,North Hollywood,Houses,CA,91602,"4731 Camellia Ave North Hollywood, CA 91602",https://www.apartments.com/4731-camellia-ave-north-hollywood-ca/42ll33l/,2 baths,"1,692 sq ft","1,692",,,,5600,,
2500,San Diego,Houses,CA,92109,"3302 Jewell St San Diego, CA 92109",https://www.apartments.com/3302-jewell-st-san-diego-ca/np8t00p/,1 bath,400 sq ft,400,,,,,,
,Los Angeles,Houses,CA,90049,"1101 S Bundy Dr Los Angeles, CA 90049",https://www.apartments.com/1101-s-bundy-dr-los-angeles-ca/4b5gy1l/,6.5 baths,"6,246 sq ft","6,246",19500,,,,,
2695,Redwood City,Houses,CA,94061,"1826 Vera Ave Redwood City, CA 94061",https://www.apartments.com/1826-vera-ave-redwood-city-ca/3nt109d/,1 bath,466 sq ft,466,,,,,,
,Tarzana,Houses,CA,91356,"5057 Shirley Ave Tarzana, CA 91356",https://www.apartments.com/5057-shirley-ave-tarzana-ca/03wqzz2/,2.5 baths,"3,200 sq ft","3,200",,,6750,,,
,Pasadena,Houses,CA,91104,"993 N Hudson Ave Pasadena, CA 91104",https://www.apartments.com/993-n-hudson-ave-pasadena-ca/40gcd3k/,1 bath,490 sq ft,490,,,,,,1800
,Los Angeles,Houses,CA,90064,"2312 Wellesley Ave Los Angeles, CA 90064",https://www.apartments.com/2312-wellesley-ave-los-angeles-ca/xndkdxn/,1 bath,675 sq ft,675,,2800,,,,
,San Jose,Houses,CA,95125,"2326 Cherry Ave San Jose, CA 95125",https://www.apartments.com/2326-cherry-ave-san-jose-ca/84lffl3/,3 baths,"1,479 sq ft","1,479",,,,3495,,
2650,Los Angeles,Houses,CA,91601,"11562 Huston St Los Angeles, CA 91601",https://www.apartments.com/11562-huston-st-los-angeles-ca/vllhq0f/,1 bath,600 sq ft,600,,,,,,
2150,Culver City,Houses,CA,90230,"11546 Segrell Way Culver City, CA 90230",https://www.apartments.com/11546-segrell-way-culver-city-ca/bpbhdmc/,1 bath,356 sq ft,356,,,,,,
,Los Angeles,Houses,CA,90064,"2718 Armacost Ave Los Angeles, CA 90064",https://www.apartments.com/2718-armacost-ave-los-angeles-ca/mfe7xgj/,2 baths,"1,700 sq ft","1,700",,,,5300,,
,Ridgecrest,Houses,CA,93555,"419 Jean Ave Ridgecrest, CA 93555",https://www.apartments.com/419-jean-ave-ridgecrest-ca/gv9850x/,2 baths,"1,600 sq ft","1,600",,1100,,,,
,Lawndale,Houses,CA,90260,"15639 Larch Ave Lawndale, CA 90260",https://www.apartments.com/15639-larch-ave-lawndale-ca/xtryfdn/,1 bath,"1,200 sq ft","1,200",,,,2850,,
,Redondo Beach,Houses,CA,90278,"1809 Grant Ave Redondo Beach, CA 90278",https://www.apartments.com/1809-grant-ave-redondo-beach-ca/prg12gv/,2 baths,"1,336 sq ft","1,336",,3400,,3950,,
1500,Monrovia,Houses,CA,91016,"425 E Walnut Ave Monrovia, CA 91016",https://www.apartments.com/425-e-walnut-ave-monrovia-ca/hbe18m0/,1 bath,400 sq ft,400,,,,,,
,Reseda,Houses,CA,91335,"6818 Rhea Ave Reseda, CA 91335",https://www.apartments.com/6818-rhea-ave-reseda-ca/0b39lt3/,1 bath,"1,300 sq ft","1,300",,,,2849,,
,Hermosa Beach,Houses,CA,90254,"1129 2nd St Hermosa Beach, CA 90254",https://www.apartments.com/1129-2nd-st-hermosa-beach-ca/mh76k0j/,4 baths,"2,970 sq ft","2,970",,,,6800,,
1760,Temple City,Houses,CA,91780,"4963 Sereno Dr Temple City, CA 91780",https://www.apartments.com/4963-sereno-dr-temple-city-ca/9vg2zh4/,1 bath,600 sq ft,600,,,,,,
,Van Nuys,Houses,CA,91405,"6935 Vesper Ave Van Nuys, CA 91405",https://www.apartments.com/6935-vesper-ave-van-nuys-ca/t8rtr19/,1 bath,"1,300 sq ft","1,300",,3000,,,,
,Venice,Houses,CA,90291,"2463 Glyndon Ave Venice, CA 90291",https://www.apartments.com/2463-glyndon-ave-venice-ca/0wskk32/,2 baths,"1,250 sq ft","1,250",,,,4000,,
,Beverly Hills,Houses,CA,90211,"227 N Swall Dr Beverly Hills, CA 90211",https://www.apartments.com/227-n-swall-dr-beverly-hills-ca/6ww418s/,2 baths,"1,391 sq ft","1,391",,3795,,,,
,Los Angeles,Houses,CA,90023,"924 S Bonnie Beach Pl Los Angeles, CA 90023",https://www.apartments.com/924-s-bonnie-beach-pl-los-angeles-ca/vpn8qge/,1 bath,728 sq ft,728,,2200,,,,
,Redondo Beach,Houses,CA,90277,"1227 S Irena Ave Redondo Beach, CA 90277",https://www.apartments.com/1227-s-irena-ave-redondo-beach-ca/h26hx82/,2 baths,"1,200 sq ft","1,200",,,,4300,,
,Los Angeles,Houses,CA,90046,"8051 Fareholm Dr Los Angeles, CA 90046",https://www.apartments.com/8051-fareholm-dr-los-angeles-ca/l6pqc6g/,2 baths,"1,783 sq ft","1,783",,,,6000,,
,San Jose,Houses,CA,95128,"323 Rutland Ave San Jose, CA 95128",https://www.apartments.com/323-rutland-ave-san-jose-ca/6vh811v/,1 bath,"1,100 sq ft","1,100",,3450,,,,
,Pasadena,Houses,CA,91107,"2173 San Pasqual St Pasadena, CA 91107",https://www.apartments.com/2173-san-pasqual-st-pasadena-ca/dc5z3fj/,2.5 baths,"1,761 sq ft","1,761",,,12750,,,
,Corona,Houses,CA,92879,"754 Lassen Dr Corona, CA 92879",https://www.apartments.com/754-lassen-dr-corona-ca/eb54jlm/,3 baths,"2,012 sq ft","2,012",,,,,5800,
,Los Angeles,Houses,CA,90018,"3511 S Bronson Ave Los Angeles, CA 90018",https://www.apartments.com/3511-s-bronson-ave-los-angeles-ca/wbrk0xl/,1 bath,980 sq ft,980,,3800,,,,
2500,Los Angeles,Houses,CA,91606,"6725 St Clair Ave Los Angeles, CA 91606",https://www.apartments.com/6725-st-clair-ave-los-angeles-ca/zth6cnx/,1 bath,700 sq ft,700,,,,,,
,Brentwood,Houses,CA,94513,"1017 Finn Way Brentwood, CA 94513",https://www.apartments.com/1017-finn-way-brentwood-ca/xe155mq/,3 baths,"2,651 sq ft","2,651",,,,,3400,
,Sacramento,Houses,CA,95833,"3012 Bergamo Ct Sacramento, CA 95833",https://www.apartments.com/3012-bergamo-ct-sacramento-ca/3d9y60f/,2.5 baths,"2,500 sq ft","2,500",,,3795,,,
,Davis,Houses,CA,95616,"2715 Ottowa Ave Davis, CA 95616",https://www.apartments.com/2715-ottowa-ave-davis-ca/sx9j1w5/,1.5 baths,"1,100 sq ft","1,100",,,,3295,,
,Folsom,Houses,CA,95630,"677 Addison Ln Folsom, CA 95630",https://www.apartments.com/677-addison-ln-folsom-ca/d3mq9kk/,3.5 baths,"2,527 sq ft","2,527",,,,,4195,
,Sacramento,Houses,CA,95834,"4 Great Egret Ct Sacramento, CA 95834",https://www.apartments.com/4-great-egret-ct-sacramento-ca/7tmd6fx/,2 baths,"1,900 sq ft","1,900",,,4295,,,
,Sacramento,Houses,CA,95835,"5254 Moonlit Bay Way Sacramento, CA 95835",https://www.apartments.com/5254-moonlit-bay-way-sacramento-ca/7ehk33w/,2.5 baths,"2,300 sq ft","2,300",,,,,4195,
,Sacramento,Houses,CA,95834,"240 Alboran Sea Cir Sacramento, CA 95834",https://www.apartments.com/240-alboran-sea-cir-sacramento-ca/hf7qxt1/,2.5 baths,"1,700 sq ft","1,700",,,3995,,,
,San Rafael,Houses,CA,94903,"25 Bonsai Ct San Rafael, CA 94903",https://www.apartments.com/25-bonsai-ct-san-rafael-ca/nqwferq/,2.5 baths,"1,996 sq ft","1,996",,,,4850,,
,San Rafael,Houses,CA,94903,"25 Bonsai Ct San Rafael, CA 94903",https://www.apartments.com/25-bonsai-ct-san-rafael-ca/nqwferq/,2.5 baths,"1,996 sq ft","1,996",,,,4850,,
,Los Angeles,Houses,CA,90034,"10831 Woodbine St Los Angeles, CA 90034",https://www.apartments.com/10831-woodbine-st-los-angeles-ca/fbv3kws/,1 bath,"1,124 sq ft","1,124",,3500,,,,
,Carmel,Houses,CA,93923,"3256 Martin Rd Carmel, CA 93923",https://www.apartments.com/3256-martin-rd-carmel-ca/skk5106/,2 baths,"2,025 sq ft","2,025",,,,15000,,
1200,Sunnyvale,Houses,CA,94085,"651 BERNAL AVE Sunnyvale, CA 94085",https://www.apartments.com/651-bernal-ave-sunnyvale-ca/g3t6egz/,1 bath,200 sq ft,200,,,,,,
1250,Sunnyvale,Houses,CA,94085,"651 BERNAL AVE Sunnyvale, CA 94085",https://www.apartments.com/651-bernal-ave-sunnyvale-ca/w7cgj4k/,1 bath,250 sq ft,250,,,,,,
,Los Angeles,Houses,CA,90068,"6030 Linforth Dr Los Angeles, CA 90068",https://www.apartments.com/6030-linforth-dr-los-angeles-ca/8b0ser1/,6 baths,"4,750 sq ft","4,750",,,15000,,,
,Sacramento,Houses,CA,95838,"3617 Willow St Sacramento, CA 95838",https://www.apartments.com/3617-willow-st-sacramento-ca/jpxnzp5/,1 bath,800 sq ft,800,,1475,,,,
,Redding,Houses,CA,96003,"878 Fountain Cir Redding, CA 96003",https://www.apartments.com/878-fountain-cir-redding-ca/5071s9q/,1 bath,600 sq ft,600,,1900,,,,
,Chula Vista,Houses,CA,91915,"2852 Bear Valley Rd Chula Vista, CA 91915",https://www.apartments.com/2852-bear-valley-rd-chula-vista-ca/p1280ts/,2.5 baths,"1,651 sq ft","1,651",,,,3200,,
,Redondo Beach,Houses,CA,90277,"430 S Pacific Coast Hwy Redondo Beach, CA 90277",https://www.apartments.com/430-s-pacific-coast-hwy-redondo-beach-ca/1wkm506/,1.5 baths,"1,200 sq ft","1,200",,,,3400,,
,Los Angeles,Houses,CA,90035,"913 Le Doux Rd Los Angeles, CA 90035",https://www.apartments.com/913-le-doux-rd-los-angeles-ca/gw31djy/,2 baths,"1,900 sq ft","1,900",,,,3700,,
,Hawthorne,Houses,CA,90250,"5518 W 138th St Hawthorne, CA 90250",https://www.apartments.com/5518-w-138th-st-hawthorne-ca/f0wwetr/,1.5 baths,"1,098 sq ft","1,098",,,,3700,,
,Santa Monica,Houses,CA,90405,"2429 33rd St Santa Monica, CA 90405",https://www.apartments.com/2429-33rd-st-santa-monica-ca/wq9773h/,2 baths,"1,468 sq ft","1,468",,,,6400,,
950,Santa Clarita,Houses,CA,91351,"27959 Calypso Ln Santa Clarita, CA 91351",https://www.apartments.com/27959-calypso-ln-santa-clarita-ca/lzzmxrg/,1 bath,450 sq ft,450,,,,,,
,Granada Hills,Houses,CA,91344,"11046 Amestoy Ave Granada Hills, CA 91344",https://www.apartments.com/11046-amestoy-ave-granada-hills-ca/0f5hnn3/,2 baths,"1,354 sq ft","1,354",,,,3250,,
3250,Los Angeles,Houses,CA,90025,"1847 Pandora Ave Los Angeles, CA 90025",https://www.apartments.com/1847-pandora-ave-los-angeles-ca/62q9w7r/,2 baths,"1,250 sq ft","1,250",,,,,,
,Boron,Houses,CA,93516,"27060 Twenty Mule Team Rd Boron, CA 93516",https://www.apartments.com/27060-twenty-mule-team-rd-boron-ca/p6my9zt/,1 bath,550 sq ft,550,,650,,,,
,Burbank,Houses,CA,91501,"929 E Harvard Rd Burbank, CA 91501",https://www.apartments.com/929-e-harvard-rd-burbank-ca/q0t6c4w/,1.5 baths,850 sq ft,850,,2800,,,,
,San Bruno,Houses,CA,94066,"205 Forest Ln San Bruno, CA 94066",https://www.apartments.com/205-forest-ln-san-bruno-ca/whg79ml/,1 bath,"1,027 sq ft","1,027",,3150,,,,
,Long Beach,Houses,CA,90815,"2087 Fidler Ave Long Beach, CA 90815",https://www.apartments.com/2087-fidler-ave-long-beach-ca/r32jdx2/,1 bath,919 sq ft,919,,1800,,,,
,Whittier,Houses,CA,90602,"8023 Washington Ave Whittier, CA 90602",https://www.apartments.com/8023-washington-ave-whittier-ca/2p6rxqb/,1 bath,288 sq ft,288,,,,,,1550
,Imperial Beach,Houses,CA,91932,"1229 Grove Ave Imperial Beach, CA 91932",https://www.apartments.com/1229-grove-ave-imperial-beach-ca/zy2xenx/,1 bath,"1,000 sq ft","1,000",,2395,,,,
,Studio City,Houses,CA,91604,"3901 Alta Mesa Dr Studio City, CA 91604",https://www.apartments.com/3901-alta-mesa-dr-studio-city-ca/9r3w165/,3.5 baths,"3,262 sq ft","3,262",,,14500,,,
,Los Angeles,Houses,CA,90064,"2600 Kelton Ave Los Angeles, CA 90064",https://www.apartments.com/2600-kelton-ave-los-angeles-ca/31z92mf/,2 baths,"1,309 sq ft","1,309",,,,5850,,
,Hopland,Houses,CA,95449,"1020 Highway 175 Hopland, CA 95449",https://www.apartments.com/1020-highway-175-hopland-ca/zbc3f6z/,2 baths,"1,300 sq ft","1,300",,,,2600,,
,Los Angeles,Houses,CA,90031,"223 E Ave 39 Ave Los Angeles, CA 90031",https://www.apartments.com/223-e-ave-39-ave-los-angeles-ca/0fl6qw1/,2 baths,"1,000 sq ft","1,000",,,,3200,,
,Woodland Hills,Houses,CA,91364,"21021 Costanso St Woodland Hills, CA 91364",https://www.apartments.com/21021-costanso-st-woodland-hills-ca/rplqbq0/,3 baths,"2,000 sq ft","2,000",,,,4800,,
,Los Angeles,Houses,CA,90033,"156 S Pecan St Los Angeles, CA 90033",https://www.apartments.com/156-s-pecan-st-los-angeles-ca/pje6hvs/,2 baths,"1,150 sq ft","1,150",,,3395,,,
,La Jolla,Houses,CA,92037,"8285 El Paseo Grande La Jolla, CA 92037",https://www.apartments.com/8285-el-paseo-grande-la-jolla-ca/l6rds5f/,5 baths,"4,000 sq ft","4,000",,,,,12000,
,Venice,Houses,CA,90291,"829 Rose Ave Venice, CA 90291",https://www.apartments.com/829-rose-ave-venice-ca/fttchrv/,1 bath,300 sq ft,300,,,,,,1980
,San Diego,Houses,CA,92117,"4718 Chickasaw Ct San Diego, CA 92117",https://www.apartments.com/4718-chickasaw-ct-san-diego-ca/7cxvhex/,1 bath,760 sq ft,760,,3000,,,,
,Canyon Lake,Houses,CA,92587,"28740 Goetz Rd Canyon Lake, CA 92587",https://www.apartments.com/28740-goetz-rd-canyon-lake-ca/kfyg6pc/,2 baths,"1,760 sq ft","1,760",,,2600,,,
,West Hills,Houses,CA,91307,"6662 Sedan Ave West Hills, CA 91307",https://www.apartments.com/6662-sedan-ave-west-hills-ca/37v95we/,1 bath,400 sq ft,400,,,,,,1550
,Poway,Houses,CA,92064,"15002 Heath Dr Poway, CA 92064",https://www.apartments.com/15002-heath-dr-poway-ca/hvswhm0/,2 baths,"1,650 sq ft","1,650",,,4150,,,
,Seaside,Houses,CA,93955,"1776 Mescal St Seaside, CA 93955",https://www.apartments.com/1776-mescal-st-seaside-ca/ct7h6pe/,2.5 baths,"2,141 sq ft","2,141",,,4800,,,
1450,Los Angeles,Houses,CA,91406,"7471 Encino Ave Los Angeles, CA 91406",https://www.apartments.com/7471-encino-ave-los-angeles-ca/1nqlzs7/,1 bath,350 sq ft,350,,,,,,
,San Pedro,Houses,CA,90731,"1433 S Mesa St San Pedro, CA 90731",https://www.apartments.com/1433-s-mesa-st-san-pedro-ca/lcqktmg/,2 baths,"1,284 sq ft","1,284",,,,3200,,
,East Palo Alto,Houses,CA,94303,"2076 Oakwood Dr East Palo Alto, CA 94303",https://www.apartments.com/2076-oakwood-dr-east-palo-alto-ca/95gky76/,2 baths,"1,100 sq ft","1,100",,3550,,,,
,West Hollywood,Houses,CA,90069,"9036 Dicks St West Hollywood, CA 90069",https://www.apartments.com/9036-dicks-st-west-hollywood-ca/88m63d2/,3 baths,"1,400 sq ft","1,400",,,,9400,,
,Los Angeles,Houses,CA,90039,"3823 Valleybrink Rd Los Angeles, CA 90039",https://www.apartments.com/3823-valleybrink-rd-los-angeles-ca/p4ph97t/,4 baths,"1,800 sq ft","1,800",,,,6500,,
,Fresno,Houses,CA,93737,"3053 N Stanley Ave Fresno, CA 93737",https://www.apartments.com/3053-n-stanley-ave-fresno-ca/fpese3s/,2 baths,"1,600 sq ft","1,600",,,,2450,,
,Fillmore,Houses,CA,93015,"751 Central Ave Fillmore, CA 93015",https://www.apartments.com/751-central-ave-fillmore-ca/epy590n/,2 baths,"1,624 sq ft","1,624",,,3000,,,
,Hayward,Houses,CA,94545,"2173 Laguna Dr Hayward, CA 94545",https://www.apartments.com/2173-laguna-dr-hayward-ca/12tf4g5/,3 baths,"2,126 sq ft","2,126",,,,,4600,
,Hayward,Houses,CA,94544,"26027 Tarragon St Hayward, CA 94544",https://www.apartments.com/26027-tarragon-st-hayward-ca/yrqt6vr/,2.5 baths,"1,741 sq ft","1,741",,,4100,,,
,Los Angeles,Houses,CA,90039,"3042 Atwater Ave Los Angeles, CA 90039",https://www.apartments.com/3042-atwater-ave-los-angeles-ca/z0mrwqw/,2 baths,"1,400 sq ft","1,400",,,,4195,,
,Los Angeles,Houses,CA,90038,"826 N Citrus Ave Los Angeles, CA 90038",https://www.apartments.com/826-n-citrus-ave-los-angeles-ca/vtbvh3f/,1 bath,400 sq ft,400,,,,,,1500
,Newport Beach,Houses,CA,92660,"435 Vista Suerte Newport Beach, CA 92660",https://www.apartments.com/435-vista-suerte-newport-beach-ca/p1l95sv/,3.5 baths,"2,700 sq ft","2,700",,,,,6800,
2100,Simi Valley,Houses,CA,93063,"3361 Wichita Falls Ave Simi Valley, CA 93063",https://www.apartments.com/3361-wichita-falls-ave-simi-valley-ca/p0fx1ts/,1 bath,450 sq ft,450,,,,,,
,West Hollywood,Houses,CA,90046,"903 N La Jolla Ave West Hollywood, CA 90046",https://www.apartments.com/903-n-la-jolla-ave-west-hollywood-ca/344m9kg/,1 bath,450 sq ft,450,,,,,,1950
1450,Millbrae,Houses,CA,94030,"930 Hillcrest Blvd Millbrae, CA 94030",https://www.apartments.com/930-hillcrest-blvd-millbrae-ca/t3svcrb/,1 bath,300 sq ft,300,,,,,,
,Spring Valley,Houses,CA,91977,"1223 Maria Ave Spring Valley, CA 91977",https://www.apartments.com/1223-maria-ave-spring-valley-ca/wmz80fl/,2.5 baths,"2,100 sq ft","2,100",,,,3100,,
,San Mateo,Houses,CA,94403,"3973 ONeill Drive San Mateo, CA 94403",https://www.apartments.com/3973-oneill-drive-san-mateo-ca/36wymme/,1 bath,860 sq ft,860,,3900,,,,
,Los Angeles,Houses,CA,90023,"962 S Breed St Los Angeles, CA 90023",https://www.apartments.com/962-s-breed-st-los-angeles-ca/c49lzse/,1 bath,"1,000 sq ft","1,000",,,,2800,,
,Riverside,Houses,CA,92507,"1402 Abernathy Dr Riverside, CA 92507",https://www.apartments.com/1402-abernathy-dr-riverside-ca/mpwl3kk/,2.5 baths,"2,207 sq ft","2,207",,,3195,,,
,El Cajon,Houses,CA,92021,"13746 Gateway View Dr El Cajon, CA 92021",https://www.apartments.com/13746-gateway-view-dr-el-cajon-ca/mbnqphl/,2.5 baths,"1,717 sq ft","1,717",,,3200,,,
,Studio City,Houses,CA,91604,"4311 Lemp Ave Studio City, CA 91604",https://www.apartments.com/4311-lemp-ave-studio-city-ca/344zlee/,3.5 baths,"3,434 sq ft","3,434",,,13000,,,
,Woodland Hills,Houses,CA,91367,"22744 Clarendon St Woodland Hills, CA 91367",https://www.apartments.com/22744-clarendon-st-woodland-hills-ca/n0nv8vp/,2.5 baths,"2,475 sq ft","2,475",,,,,5850,
,Redondo Beach,Houses,CA,90278,"1721 Van Horne Ln Redondo Beach, CA 90278",https://www.apartments.com/1721-van-horne-ln-redondo-beach-ca/yc4l9hs/,1 bath,"1,200 sq ft","1,200",,3200,,,,
,Temecula,Houses,CA,92591,"41285 Bravos Ct Temecula, CA 92591",https://www.apartments.com/41285-bravos-ct-temecula-ca/dl6r5zj/,3 baths,"2,272 sq ft","2,272",,,3950,,,
1695,Los Angeles,Houses,CA,90043,"6108 10th Ave Los Angeles, CA 90043",https://www.apartments.com/6108-10th-ave-los-angeles-ca/h1k6nz2/,1 bath,850 sq ft,850,,,,,,
1600,Los Angeles,Houses,CA,90001,"710 E 85th St Los Angeles, CA 90001",https://www.apartments.com/710-e-85th-st-los-angeles-ca/wl4qgcl/,1 bath,450 sq ft,450,,,,,,
2350,San Francisco,Houses,CA,94122,"1827 14th Ave San Francisco, CA 94122",https://www.apartments.com/1827-14th-ave-san-francisco-ca/4t0dk4j/,1 bath,900 sq ft,900,,,,,,
