City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,1 Bed,4+ Beds,Studio,5 Beds
431 Copper Canyon Rd,Townhomes,Palm Springs,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,000'}]","431 Copper Canyon Rd, Palm Springs, CA 92262",https://www.apartments.com/431-copper-canyon-rd-palm-springs-ca/f7s4y7r/,1½ BAs,"1,562 Sq Ft","1,562",,Available Now,"$4,000",,,,,,
67285 Hacienda Ave,Townhomes,Desert Hot Springs,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","67285 Hacienda Ave, Desert Hot Springs, CA 92240",https://www.apartments.com/67285-hacienda-ave-desert-hot-springs-ca/8wvltq3/,2 BAs,"1,628 Sq Ft","1,628",,Available Now,"$2,100",,,,,,
74025 Old Prospector Trail,Townhomes,Palm Desert,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}]","74025 Old Prospector Trail, Palm Desert, CA 92260",https://www.apartments.com/74025-old-prospector-trail-palm-desert-ca/pcxr30v/,1 BA,900 Sq Ft,900,,Available Now,,,,"$1,600",,,
52430 Hawthorn Ct,Townhomes,La Quinta,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","52430 Hawthorn Ct, La Quinta, CA 92253",https://www.apartments.com/52430-hawthorn-ct-la-quinta-ca/veb55hf/,2 BAs,"1,100 Sq Ft","1,100",,Available Now,"$2,500",,,,,,
4153 Via Mattina,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","4153 Via Mattina, Palm Desert, CA 92260",https://www.apartments.com/4153-via-mattina-palm-desert-ca/kc8v5rc/,2 BAs,"1,961 Sq Ft","1,961",,Available Now,"$3,500",,,,,,
52439 Hawthorn Ct,Townhomes,La Quinta,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,650'}]","52439 Hawthorn Ct, La Quinta, CA 92253",https://www.apartments.com/52439-hawthorn-ct-la-quinta-ca/rnd2bb0/,2½ BAs,"1,665 Sq Ft","1,665",,Available Now,"$3,650",,,,,,
68 El Toro Dr,Townhomes,Rancho Mirage,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,300'}]","68 El Toro Dr, Rancho Mirage, CA 92270",https://www.apartments.com/68-el-toro-dr-rancho-mirage-ca/rcfgpy1/,2 BAs,"1,381 Sq Ft","1,381",,Available Now,"$3,300",,,,,,
2638 Heritage Park Cir,Townhomes,San Jose,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","2638 Heritage Park Cir, San Jose, CA 95132",https://www.apartments.com/2638-heritage-park-cir-san-jose-ca/rtn00p0/,2½ BAs,"1,819 Sq Ft","1,819",,Jan 2,,"$3,500",,,,,
3401 Bermuda Ave,Townhomes,Davis,CA,"[{'bedroom_type': '3 Beds', 'price': '$1,000'}]","3401 Bermuda Ave, Davis, CA 95616",https://www.apartments.com/3401-bermuda-ave-davis-ca/qftmgww/,2 BAs,"1,523 Sq Ft","1,523",,Available Now,,"$1,000",,,,,
504 McLaughlin St,Townhomes,Richmond,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,995'}]","504 McLaughlin St, Richmond, CA 94805",https://www.apartments.com/504-mclaughlin-st-richmond-ca/8bshc12/,1 BA,898 Sq Ft,898,,Available Now,"$1,995",,,,,,
40532 Bay Hill Way,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,895'}]","40532 Bay Hill Way, Palm Desert, CA 92211",https://www.apartments.com/40532-bay-hill-way-palm-desert-ca/dtz2yrk/,2 BAs,"1,177 Sq Ft","1,177",,Available Now,"$1,895",,,,,,
40274 Bay Hill Way,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,895'}]","40274 Bay Hill Way, Palm Desert, CA 92211",https://www.apartments.com/40274-bay-hill-way-palm-desert-ca/k50w9r8/,2 BAs,"1,177 Sq Ft","1,177",,Available Now,"$1,895",,,,,,
40900 La Costa Cir W,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,800'}]","40900 La Costa Cir W, Palm Desert, CA 92211",https://www.apartments.com/40900-la-costa-cir-w-palm-desert-ca/l8q746e/,4 BAs,"1,177 Sq Ft","1,177",,Available Now,"$1,800",,,,,,
77419 Sawgrass Cir,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]","77419 Sawgrass Cir, Palm Desert, CA 92211",https://www.apartments.com/77419-sawgrass-cir-palm-desert-ca/xe8n3ep/,2 BAs,"1,177 Sq Ft","1,177",,Available Now,"$3,100",,,,,,
5635 Trancas Canyon Rd,Townhomes,Malibu,CA,"[{'bedroom_type': '2 Beds', 'price': '$7,150'}]","5635 Trancas Canyon Rd, Malibu, CA 90265",https://www.apartments.com/5635-trancas-canyon-rd-malibu-ca/9e4xhx7/,2 BAs,"1,000 Sq Ft","1,000",,Available Now,"$7,150",,,,,,
41742 Jupiter Hills Ct,Townhomes,Palm Desert,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,945'}]","41742 Jupiter Hills Ct, Palm Desert, CA 92211",https://www.apartments.com/41742-jupiter-hills-ct-palm-desert-ca/n9sx7cn/,3 BAs,938 Sq Ft,938,,Available Now,,,,"$2,945",,,
25119 Malibu Rd,Townhomes,Malibu,CA,"[{'bedroom_type': '1 Bed', 'price': '$5,700'}]","25119 Malibu Rd, Malibu, CA 90265",https://www.apartments.com/25119-malibu-rd-malibu-ca/wxjjpch/,1 BA,650 Sq Ft,650,,Available Now,,,,"$5,700",,,
18225 Coastline Dr,Townhomes,Malibu,CA,"[{'bedroom_type': '4 Beds', 'price': '$10,995'}]","18225 Coastline Dr, Malibu, CA 90265",https://www.apartments.com/18225-coastline-dr-malibu-ca/m1fp86h/,4 BAs,"2,550 Sq Ft","2,550",,Available Now,,,"$10,995",,,,
40880 La Costa Cir W,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,895'}]","40880 La Costa Cir W, Palm Desert, CA 92211",https://www.apartments.com/40880-la-costa-cir-w-palm-desert-ca/zrpc43x/,4 BAs,"1,177 Sq Ft","1,177",,Available Now,"$1,895",,,,,,
40280 Bay Hill Way,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,800'}]","40280 Bay Hill Way, Palm Desert, CA 92211",https://www.apartments.com/40280-bay-hill-way-palm-desert-ca/qtz36nw/,2 BAs,"1,177 Sq Ft","1,177",,Available Now,"$1,800",,,,,,
40705 Inverness Way,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]","40705 Inverness Way, Palm Desert, CA 92211",https://www.apartments.com/40705-inverness-way-palm-desert-ca/k0mwd0c/,4 BAs,"1,177 Sq Ft","1,177",,Available Now,"$1,850",,,,,,
77425 Sawgrass Cir,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","77425 Sawgrass Cir, Palm Desert, CA 92211",https://www.apartments.com/77425-sawgrass-cir-palm-desert-ca/7yel2sz/,2 BAs,"1,177 Sq Ft","1,177",,Available Now,"$1,900",,,,,,
40475 Pebble Beach Cir,Townhomes,Palm Desert,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,945'}]","40475 Pebble Beach Cir, Palm Desert, CA 92211",https://www.apartments.com/40475-pebble-beach-cir-palm-desert-ca/xbmn45m/,3 BAs,938 Sq Ft,938,,Available Now,,,,"$2,945",,,
29700 Zuma Bay Way,Townhomes,Malibu,CA,"[{'bedroom_type': '3 Beds', 'price': '$12,750'}]","29700 Zuma Bay Way, Malibu, CA 90265",https://www.apartments.com/29700-zuma-bay-way-malibu-ca/5bc9s6q/,3 BAs,"1,484 Sq Ft","1,484",,Available Now,,"$12,750",,,,,
41484 Inverness Way,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,900'}]","41484 Inverness Way, Palm Desert, CA 92211",https://www.apartments.com/41484-inverness-way-palm-desert-ca/7x1l1jy/,3 BAs,"1,065 Sq Ft","1,065",,Available Now,"$1,900",,,,,,
3229 Rambla Pacifico St,Townhomes,Malibu,CA,"[{'bedroom_type': '4+ Beds', 'price': '$85,000'}]","3229 Rambla Pacifico St, Malibu, CA 90265",https://www.apartments.com/3229-rambla-pacifico-st-malibu-ca/4f3svdh/,10 BAs,"8,272 Sq Ft","8,272",,Available Now,,,,,"$85,000",,
41543 Jupiter Hills Ct,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,945'}]","41543 Jupiter Hills Ct, Palm Desert, CA 92211",https://www.apartments.com/41543-jupiter-hills-ct-palm-desert-ca/cnb3l3f/,3 BAs,"1,337 Sq Ft","1,337",,Available Now,"$2,945",,,,,,
44635 Jefferson St,Townhomes,Lancaster,CA,"[{'bedroom_type': '4+ Beds', 'price': '$3,300'}]","44635 Jefferson St, Lancaster, CA 93535",https://www.apartments.com/44635-jefferson-st-lancaster-ca/emmc55p/,3 BAs,"2,925 Sq Ft","2,925",,Available Now,,,,,"$3,300",,
South Pasadena,Townhomes,CA,91030,"[{'bedroom_type': '2 Beds', 'price': '$2,75'}]","1843 Clark Pl, South Pasadena, CA 91030",https://www.apartments.com/1843-clark-pl-south-pasadena-ca/yrwp2qs/,2 BAs,"1,150 Sq Ft","1,150",12 Month Lease,Available Now,"$2,75",,,,,,
Vista,Townhomes,CA,92083,"[{'bedroom_type': '3 Beds', 'price': '$2,29'}]","820 N Santa Fe Ave, Vista, CA 92083",https://www.apartments.com/820-n-santa-fe-ave-vista-ca/kmedbdc/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$2,29",,,,,
Orange,Townhomes,CA,92869,"[{'bedroom_type': '2 Beds', 'price': '$3,25'}]","4736 E Washington Ave, Orange, CA 92869",https://www.apartments.com/4736-e-washington-ave-orange-ca/t1dw53b/,2 BAs,"1,340 Sq Ft","1,340",12 Month Lease,Available Now,"$3,25",,,,,,
214 Barlow Ln,Townhomes,Morro Bay,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]","214 Barlow Ln, Morro Bay, CA 93442",https://www.apartments.com/214-barlow-ln-morro-bay-ca/mlwty2l/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,700",,,,,,
554 Almond Rd,Townhomes,San Marcos,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]","554 Almond Rd, San Marcos, CA 92078",https://www.apartments.com/554-almond-rd-san-marcos-ca/8qs32e1/,2½ BAs,"1,051 Sq Ft","1,051",12 Month Lease,Available Now,"$2,300",,,,,,
2575 Bayshore Ave,Townhomes,Ventura,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","2575 Bayshore Ave, Ventura, CA 93001",https://www.apartments.com/2575-bayshore-ave-ventura-ca/mvdgh2j/,1 BA,"1,560 Sq Ft","1,560",,Available Now,,"$3,500",,,,,
10929 Clairemont Mesa Blvd,Townhomes,San Diego,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,950'}]","10929 Clairemont Mesa Blvd, San Diego, CA 92124",https://www.apartments.com/10929-clairemont-mesa-blvd-san-diego-ca/mv9k6rj/,2 BAs,"1,450 Sq Ft","1,450",,Available Now,,,"$2,950",,,,
413 Sanibelle Cir,Townhomes,Chula Vista,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,100'}]","413 Sanibelle Cir, Chula Vista, CA 91910",https://www.apartments.com/413-sanibelle-cir-chula-vista-ca/mp72lgh/,2 BAs,920 Sq Ft,920,,Available Now,"$2,100",,,,,,
1233 Beaulieu Ct,Townhomes,San Jose,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,500'}]","1233 Beaulieu Ct, San Jose, CA 95125",https://www.apartments.com/1233-beaulieu-ct-san-jose-ca/l0x8ekf/,2½ BAs,"1,224 Sq Ft","1,224",,Available Now,"$3,500",,,,,,
2155 Colfax St,Townhomes,Concord,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","2155 Colfax St, Concord, CA 94520",https://www.apartments.com/2155-colfax-st-concord-ca/wr51jel/,1 BA,"1,205 Sq Ft","1,205",,Available Now,"$2,500",,,,,,
38080 Martha Ave,Townhomes,Fremont,CA,"[{'bedroom_type': 'Studio', 'price': '$2,700'}]","38080 Martha Ave, Fremont, CA 94536",https://www.apartments.com/38080-martha-ave-fremont-ca/8247zp0/,1½ BAs,996 Sq Ft,996,,Available Now,,,,,,"$2,700",
38533 Nasturtium Way,Townhomes,Palm Desert,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}]","38533 Nasturtium Way, Palm Desert, CA 92211",https://www.apartments.com/38533-nasturtium-way-palm-desert-ca/4rnt4vj/,2 BAs,"1,555 Sq Ft","1,555",,Available Now,"$2,350",,,,,,
22 S Lake Dr,Townhomes,Antioch,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,895'}]","22 S Lake Dr, Antioch, CA 94509",https://www.apartments.com/22-s-lake-dr-antioch-ca/9cflgc5/,1 BA,800 Sq Ft,800,,Available Now,"$1,895",,,,,,
Monrovia,Townhomes,CA,91016,"[{'bedroom_type': '2 Beds', 'price': '$1,67'}]","550 W Duarte Rd, Monrovia, CA 91016",https://www.apartments.com/550-w-duarte-rd-monrovia-ca/eg8byqn/,1½ BAs,"1,140 Sq Ft","1,140",1 Month Lease,Available Now,"$1,67",,,,,,
San Marcos,Townhomes,CA,92078,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","1186 Highbluff Ave, San Marcos, CA 92078",https://www.apartments.com/1186-highbluff-ave-san-marcos-ca/nzfvvjp/,2 BAs,"1,111 Sq Ft","1,111",17 Month Lease,Feb 1,"$2,50",,,,,,
4011 Mandeville Canyon Rd,Townhomes,Los Angeles,CA,"[{'bedroom_type': '4 Beds', 'price': '$7,750'}]","4011 Mandeville Canyon Rd, Los Angeles, CA 90049",https://www.apartments.com/4011-mandeville-canyon-rd-los-angeles-ca/wr5t74l/,2 BAs,"2,084 Sq Ft","2,084",,Available Now,,,"$7,750",,,,
San Diego,Townhomes,CA,92129,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","13880 Via Rimini, San Diego, CA 92129",https://www.apartments.com/13880-via-rimini-san-diego-ca/dj79rrj/,1 BA,924 Sq Ft,924,12 Month Lease,Available Now,"$1,99",,,,,,
Aptos,Townhomes,CA,95003,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","2014 Dolphin Dr, Aptos, CA 95003",https://www.apartments.com/2014-dolphin-dr-aptos-ca/nd99gpn/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,"$3,00",,,,,,
Los Angeles,Townhomes,CA,91342,"[{'bedroom_type': '4 Beds', 'price': '$3,30'}]","14927 West Navarre Way, Los Angeles, CA 91342",https://www.apartments.com/14927-west-navarre-way-los-angeles-ca/3h0rq4f/,2½ BAs,"1,489 Sq Ft","1,489",12 Month Lease,Available Now,,,"$3,30",,,,
Dublin,Townhomes,CA,94568,"[{'bedroom_type': '1 Bed', 'price': '$1,25'}]","6497 Bantry Bay St, Dublin, CA 94568",https://www.apartments.com/6497-bantry-bay-st-dublin-ca/hdtzs20/,1 BA,"2,300 Sq Ft","2,300",6 Month Lease,Feb 1,,,,"$1,25",,,
Oroville,Townhomes,CA,95965,"[{'bedroom_type': '2 Beds', 'price': '$85'}]","933 Bird St, Oroville, CA 95965",https://www.apartments.com/933-bird-st-oroville-ca/ttljp0c/,1 BA,940 Sq Ft,940,24 Month Lease,Available Now,$85,,,,,,
Santa Rosa,Townhomes,CA,95403,"[{'bedroom_type': '2 Beds', 'price': '$1,90'}]","1867 Windmill Cir, Santa Rosa, CA 95403",https://www.apartments.com/1867-windmill-cir-santa-rosa-ca/b6ce0x8/,1½ BAs,960 Sq Ft,960,12 Month Lease,Jan 4,"$1,90",,,,,,
Sherman Oaks,Townhomes,CA,91423,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","4412 Ventura Canyon Ave, Sherman Oaks, CA 91423",https://www.apartments.com/4412-ventura-canyon-ave-sherman-oaks-ca/2vwwmf9/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,30",,,,,,
Ontario,Townhomes,CA,91761,"[{'bedroom_type': '4 Beds', 'price': '$2,55'}]","2908 Laureltree Dr, Ontario, CA 91761",https://www.apartments.com/2908-laureltree-dr-ontario-ca/12h1pn5/,3 BAs,"1,721 Sq Ft","1,721",12 Month Lease,Available Now,,,"$2,55",,,,
Moraga,Townhomes,CA,94556,"[{'bedroom_type': '3 Beds', 'price': '$3,39'}]","2026 Ascot Dr, Moraga, CA 94556",https://www.apartments.com/2026-ascot-dr-moraga-ca/gbyt1nx/,2½ BAs,"1,680 Sq Ft","1,680",12 Month Lease,Available Now,,"$3,39",,,,,
Milpitas,Townhomes,CA,95035,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","1356 Highland Ct, Milpitas, CA 95035",https://www.apartments.com/1356-highland-ct-milpitas-ca/ld7g99e/,1½ BAs,"1,155 Sq Ft","1,155",12 Month Lease,Available Now,,"$3,30",,,,,
Mountain View,Townhomes,CA,94043,"[{'bedroom_type': '4 Beds', 'price': '$3,59'}]","40 Saw Mill Ln, Mountain View, CA 94043",https://www.apartments.com/40-saw-mill-ln-mountain-view-ca/4tklhkj/,2½ BAs,"1,452 Sq Ft","1,452",12 Month Lease,Available Now,,,"$3,59",,,,
Menlo Park,Townhomes,CA,94025,"[{'bedroom_type': '2 Beds', 'price': '$3,09'}]","804 Curtis St, Menlo Park, CA 94025",https://www.apartments.com/804-curtis-st-menlo-park-ca/0vwszm1/,2 BAs,"1,045 Sq Ft","1,045",12 Month Lease,Available Now,"$3,09",,,,,,
Mountain View,Townhomes,CA,94043,"[{'bedroom_type': '3 Beds', 'price': '$3,99'}]","427 Mountain Laurel Ct, Mountain View, CA 94043",https://www.apartments.com/427-mountain-laurel-ct-mountain-view-ca/96kmxn5/,2½ BAs,"1,417 Sq Ft","1,417",12 Month Lease,Available Now,,"$3,99",,,,,
Mountain View,Townhomes,CA,94043,"[{'bedroom_type': '2 Beds', 'price': '$3,45'}]","739 Cottage Ct, Mountain View, CA 94043",https://www.apartments.com/739-cottage-ct-mountain-view-ca/vg4k00d/,2 BAs,"1,150 Sq Ft","1,150",12 Month Lease,Available Now,"$3,45",,,,,,
San Jose,Townhomes,CA,95131,"[{'bedroom_type': '3 Beds', 'price': '$3,10'}]","1223 Westbury Dr, San Jose, CA 95131",https://www.apartments.com/1223-westbury-dr-san-jose-ca/v4wkhgg/,2½ BAs,"1,376 Sq Ft","1,376",12 Month Lease,Available Now,,"$3,10",,,,,
Stockton,Townhomes,CA,95219,"[{'bedroom_type': '2 Beds', 'price': '$1,65'}]","3103 W Swain Rd, Stockton, CA 95219",https://www.apartments.com/3103-w-swain-rd-stockton-ca/dtj8rgj/,1 BA,944 Sq Ft,944,12 Month Lease,Available Now,"$1,65",,,,,,
Pacific Palisades,Townhomes,CA,90272,"[{'bedroom_type': '1 Bed', 'price': '$1,82'}]","1712 Palisades Dr, Pacific Palisades, CA 90272",https://www.apartments.com/1712-palisades-dr-pacific-palisades-ca/6xmlzmr/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,,"$1,82",,,
Berkeley,Townhomes,CA,94702,"[{'bedroom_type': '2 Beds', 'price': '$2,57'}]","2952 Stanton St, Berkeley, CA 94702",https://www.apartments.com/2952-stanton-st-berkeley-ca/c373vef/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,57",,,,,,
Goleta,Townhomes,CA,93117,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","6707 Abrego Rd, Goleta, CA 93117",https://www.apartments.com/6707-abrego-rd-goleta-ca/hlk89c1/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$1,65",,,
Los Gatos,Townhomes,CA,95032,"[{'bedroom_type': '3 Beds', 'price': '$3,60'}]","16130 Loretta Ln, Los Gatos, CA 95032",https://www.apartments.com/16130-loretta-ln-los-gatos-ca/vqxyy5d/,2½ BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,"$3,60",,,,,
Brea,Townhomes,CA,92821,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","231 Dale Ct, Brea, CA 92821",https://www.apartments.com/231-dale-ct-brea-ca/r1kcsh2/,2½ BAs,"1,780 Sq Ft","1,780",12 Month Lease,Available Now,,"$2,90",,,,,
Solana Beach,Townhomes,CA,92075,"[{'bedroom_type': '2 Beds', 'price': '$3,10'}]","522 Via De La Valle, Solana Beach, CA 92075",https://www.apartments.com/522-via-de-la-valle-solana-beach-ca/fyd57gs/,2½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$3,10",,,,,,
Buena Park,Townhomes,CA,90621,"[{'bedroom_type': '3 Beds', 'price': '$2,80'}]","8192 Whitaker St, Buena Park, CA 90621",https://www.apartments.com/8192-whitaker-st-buena-park-ca/dly911l/,2 BAs,"1,700 Sq Ft","1,700",12 Month Lease,Jan 4,,"$2,80",,,,,
Concord,Townhomes,CA,94521,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","1417 Bel Air Dr, Concord, CA 94521",https://www.apartments.com/1417-bel-air-dr-concord-ca/hx2s4d0/,1½ BAs,"1,122 Sq Ft","1,122",12 Month Lease,Available Now,"$2,40",,,,,,
Montrose,Townhomes,CA,91020,"[{'bedroom_type': '2 Beds', 'price': '$3,100'}]","2218 Montrose Ave, Montrose, CA 91020",https://www.apartments.com/2218-montrose-ave-montrose-ca/h8v3q30/,2½ BAs,"1,330 Sq Ft","1,330",12 Month Lease,Available Now,"$3,100",,,,,,
Cupertino,Townhomes,CA,95014,"[{'bedroom_type': '3 Beds', 'price': '$3,70'}]","10463 Mary Ave, Cupertino, CA 95014",https://www.apartments.com/10463-mary-ave-cupertino-ca/d23zbnh/,1½ BAs,"1,560 Sq Ft","1,560",12 Month Lease,Available Now,,"$3,70",,,,,
Pleasanton,Townhomes,CA,94588,"[{'bedroom_type': '4 Beds', 'price': '$3,90'}]","1500 Purisima Ter, Pleasanton, CA 94588",https://www.apartments.com/1500-purisima-ter-pleasanton-ca/2cq10lb/,3½ BAs,"1,960 Sq Ft","1,960",12 Month Lease,Jan 8,,,"$3,90",,,,
Mountain View,Townhomes,CA,94043,"[{'bedroom_type': '3 Beds', 'price': '$3,69'}]","134 Brenton Ct, Mountain View, CA 94043",https://www.apartments.com/134-brenton-ct-mountain-view-ca/jrepms7/,2½ BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,"$3,69",,,,,
Napa,Townhomes,CA,94559,"[{'bedroom_type': '1 Bed', 'price': '$1,79'}]","2310 California Blvd, Napa, CA 94559",https://www.apartments.com/2310-california-blvd-napa-ca/kvhfpp9/,1 BA,759 Sq Ft,759,12 Month Lease,Available Now,,,,"$1,79",,,
Petaluma,Townhomes,CA,94952,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","268 Douglas St, Petaluma, CA 94952",https://www.apartments.com/268-douglas-st-petaluma-ca/6p9he3t/,1½ BAs,950 Sq Ft,950,,Available Now,"$2,25",,,,,,
Diamond Bar,Townhomes,CA,91765,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","1260 S Diamond Bar Blvd, Diamond Bar, CA 91765",https://www.apartments.com/1260-s-diamond-bar-blvd-diamond-bar-ca/57p2lhq/,1½ BAs,"1,079 Sq Ft","1,079",12 Month Lease,Available Now,"$2,10",,,,,,
Sunnyvale,Townhomes,CA,94086,"[{'bedroom_type': '4 Beds', 'price': '$4,25'}]","927 La Mesa Ter, Sunnyvale, CA 94086",https://www.apartments.com/927-la-mesa-ter-sunnyvale-ca/4ldqltl/,2½ BAs,"2,082 Sq Ft","2,082",12 Month Lease,Available Now,,,"$4,25",,,,
Mountain View,Townhomes,CA,94043,"[{'bedroom_type': '2 Beds', 'price': '$3,25'}]","83 Devonshire Ave, Mountain View, CA 94043",https://www.apartments.com/83-devonshire-ave-mountain-view-ca/ldj7ste/,2 BAs,"1,216 Sq Ft","1,216",12 Month Lease,Available Now,"$3,25",,,,,,
San Jose,Townhomes,CA,95131,"[{'bedroom_type': '2 Beds', 'price': '$2,65'}]","1346 Fairway Entrance Dr, San Jose, CA 95131",https://www.apartments.com/1346-fairway-entrance-dr-san-jose-ca/1snxv97/,2 BAs,"1,093 Sq Ft","1,093",12 Month Lease,Available Now,"$2,65",,,,,,
Sunnyvale,Townhomes,CA,94086,"[{'bedroom_type': '2 Beds', 'price': '$2,19'}]","713 Golden Oak Dr, Sunnyvale, CA 94086",https://www.apartments.com/713-golden-oak-dr-sunnyvale-ca/wxml0jj/,1½ BAs,793 Sq Ft,793,12 Month Lease,Available Now,"$2,19",,,,,,
San Jose,Townhomes,CA,95131,"[{'bedroom_type': '3 Beds', 'price': '$3,09'}]","1285 Laveille Ct, San Jose, CA 95131",https://www.apartments.com/1285-laveille-ct-san-jose-ca/le2q8yf/,2½ BAs,"1,700 Sq Ft","1,700",12 Month Lease,Available Now,,"$3,09",,,,,
Sacramento,Townhomes,CA,95814,"[{'bedroom_type': '1 Bed', 'price': '$2,20'}]","1323 G St, Sacramento, CA 95814",https://www.apartments.com/1323-g-st-sacramento-ca/kktnzz9/,1½ BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,,,"$2,20",,,
Calabasas,Townhomes,CA,91302,"[{'bedroom_type': '1 Bed', 'price': '$1,20'}]","26303 W Bravo Ln, Calabasas, CA 91302",https://www.apartments.com/26303-w-bravo-ln-calabasas-ca/4s4q7rl/,1 BA,"1,344 Sq Ft","1,344",12 Month Lease,Available Now,,,,"$1,20",,,
Chico,Townhomes,CA,95973,"[{'bedroom_type': '3 Beds', 'price': '$1,40'}]","20 Jillian Ln, Chico, CA 95973",https://www.apartments.com/20-jillian-ln-chico-ca/d4g1lbh/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Jan 9,,"$1,40",,,,,
Campbell,Townhomes,CA,95008,"[{'bedroom_type': '3 Beds', 'price': '$3,70'}]","189 Redding Rd, Campbell, CA 95008",https://www.apartments.com/189-redding-rd-campbell-ca/ecnndpq/,2½ BAs,"1,700 Sq Ft","1,700",12 Month Lease,Feb 15,,"$3,70",,,,,
Milpitas,Townhomes,CA,95035,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","1587 Larkwood Ct, Milpitas, CA 95035",https://www.apartments.com/1587-larkwood-ct-milpitas-ca/h3n6rv2/,2½ BAs,"1,547 Sq Ft","1,547",12 Month Lease,Available Now,,"$3,40",,,,,
Palm Springs,Townhomes,CA,92264,"[{'bedroom_type': '3 Beds', 'price': '$1,99'}]","6134 Arroyo Rd, Palm Springs, CA 92264",https://www.apartments.com/6134-arroyo-rd-palm-springs-ca/69fgv1v/,2½ BAs,"1,434 Sq Ft","1,434",12 Month Lease,Available Now,,"$1,99",,,,,
San Ramon,Townhomes,CA,94582,"[{'bedroom_type': '1 Bed', 'price': '$1,55'}]","6213 Lakeview Cir, San Ramon, CA 94582",https://www.apartments.com/6213-lakeview-cir-san-ramon-ca/01f12s1/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,,"$1,55",,,
Newark,Townhomes,CA,94560,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","36981 Newark Blvd, Newark, CA 94560",https://www.apartments.com/36981-newark-blvd-newark-ca/rgyd4k2/,2½ BAs,"1,330 Sq Ft","1,330",12 Month Lease,Available Now,,"$2,90",,,,,
